,Taylor(with new sparse)
0,-0.02106488765094737*x0 + 0.007503773844253363*x1 + 0.11374548816273525*x10 - 0.08227278377399157*x11 + 0.009975424485700825*x12 + 0.130658077141322*x13 + 0.011611284128100368*x14 + 0.003308843851008588*x15 - 0.034720369779679246*x16 + 0.01740879953910111*x17 - 0.057644624220311205*x18 - 0.0009750294678626688*x19 - 0.00010802411637721935*x2 + 2.2087263378545163e-5*x20 - 0.0010542323299604322*x3 - 0.0030602100471835677*x4 - 1.6123923562484304*x5 - 0.0722310996037047*x6 - 4.613209671296473e-6*x7 - 5.0919700747260125e-6*x8 - 0.3287382061975398*x9 + 64.4729191948125
1,-0.02106488765094737*x0 + 0.007503773844253363*x1 + 0.11374548816273525*x10 - 0.08227278377399157*x11 + 0.009975424485700825*x12 + 0.130658077141322*x13 + 0.011611284128100368*x14 + 0.003308843851008588*x15 - 0.034720369779679246*x16 + 0.01740879953910111*x17 - 0.057644624220311205*x18 - 0.0009750294678626688*x19 - 0.00010802411637721935*x2 + 2.2087263378545163e-5*x20 - 0.0010542323299604322*x3 - 0.0030602100471835677*x4 - 1.6123923562484304*x5 - 0.0722310996037047*x6 - 4.613209671296473e-6*x7 - 5.0919700747260125e-6*x8 - 0.3287382061975398*x9 + 64.4729191948125
2,-0.02106488765094737*x0 + 0.007503773844253363*x1 + 0.11374548816273525*x10 - 0.08227278377399157*x11 + 0.009975424485700825*x12 + 0.130658077141322*x13 + 0.011611284128100368*x14 + 0.003308843851008588*x15 - 0.034720369779679246*x16 + 0.01740879953910111*x17 - 0.057644624220311205*x18 - 0.0009750294678626688*x19 - 0.00010802411637721935*x2 + 2.2087263378545163e-5*x20 - 0.0010542323299604322*x3 - 0.0030602100471835677*x4 - 1.6123923562484304*x5 - 0.0722310996037047*x6 - 4.613209671296473e-6*x7 - 5.0919700747260125e-6*x8 - 0.3287382061975398*x9 + 64.4729191948125
3,-0.02106488765094737*x0 + 0.007503773844253363*x1 + 0.11374548816273525*x10 - 0.08227278377399157*x11 + 0.009975424485700825*x12 + 0.130658077141322*x13 + 0.011611284128100368*x14 + 0.003308843851008588*x15 - 0.034720369779679246*x16 + 0.01740879953910111*x17 - 0.057644624220311205*x18 - 0.0009750294678626688*x19 - 0.00010802411637721935*x2 + 2.2087263378545163e-5*x20 - 0.0010542323299604322*x3 - 0.0030602100471835677*x4 - 1.6123923562484304*x5 - 0.0722310996037047*x6 - 4.613209671296473e-6*x7 - 5.0919700747260125e-6*x8 - 0.3287382061975398*x9 + 64.4729191948125
4,-0.02106488765094737*x0 + 0.007503773844253363*x1 + 0.11374548816273525*x10 - 0.08227278377399157*x11 + 0.009975424485700825*x12 + 0.130658077141322*x13 + 0.011611284128100368*x14 + 0.003308843851008588*x15 - 0.034720369779679246*x16 + 0.01740879953910111*x17 - 0.057644624220311205*x18 - 0.0009750294678626688*x19 - 0.00010802411637721935*x2 + 2.2087263378545163e-5*x20 - 0.0010542323299604322*x3 - 0.0030602100471835677*x4 - 1.6123923562484304*x5 - 0.0722310996037047*x6 - 4.613209671296473e-6*x7 - 5.0919700747260125e-6*x8 - 0.3287382061975398*x9 + 64.4729191948125
5,-0.02106488765094737*x0 + 0.007503773844253363*x1 + 0.11374548816273525*x10 - 0.08227278377399157*x11 + 0.009975424485700825*x12 + 0.130658077141322*x13 + 0.011611284128100368*x14 + 0.003308843851008588*x15 - 0.034720369779679246*x16 + 0.01740879953910111*x17 - 0.057644624220311205*x18 - 0.0009750294678626688*x19 - 0.00010802411637721935*x2 + 2.2087263378545163e-5*x20 - 0.0010542323299604322*x3 - 0.0030602100471835677*x4 - 1.6123923562484304*x5 - 0.0722310996037047*x6 - 4.613209671296473e-6*x7 - 5.0919700747260125e-6*x8 - 0.3287382061975398*x9 + 64.4729191948125
6,-0.02106488765094737*x0 + 0.007503773844253363*x1 + 0.11374548816273525*x10 - 0.08227278377399157*x11 + 0.009975424485700825*x12 + 0.130658077141322*x13 + 0.011611284128100368*x14 + 0.003308843851008588*x15 - 0.034720369779679246*x16 + 0.01740879953910111*x17 - 0.057644624220311205*x18 - 0.0009750294678626688*x19 - 0.00010802411637721935*x2 + 2.2087263378545163e-5*x20 - 0.0010542323299604322*x3 - 0.0030602100471835677*x4 - 1.6123923562484304*x5 - 0.0722310996037047*x6 - 4.613209671296473e-6*x7 - 5.0919700747260125e-6*x8 - 0.3287382061975398*x9 + 64.4729191948125
7,-0.02106488765094737*x0 + 0.007503773844253363*x1 + 0.11374548816273525*x10 - 0.08227278377399157*x11 + 0.009975424485700825*x12 + 0.130658077141322*x13 + 0.011611284128100368*x14 + 0.003308843851008588*x15 - 0.034720369779679246*x16 + 0.01740879953910111*x17 - 0.057644624220311205*x18 - 0.0009750294678626688*x19 - 0.00010802411637721935*x2 + 2.2087263378545163e-5*x20 - 0.0010542323299604322*x3 - 0.0030602100471835677*x4 - 1.6123923562484304*x5 - 0.0722310996037047*x6 - 4.613209671296473e-6*x7 - 5.0919700747260125e-6*x8 - 0.3287382061975398*x9 + 64.4729191948125
8,-0.02106488765094737*x0 + 0.007503773844253363*x1 + 0.11374548816273525*x10 - 0.08227278377399157*x11 + 0.009975424485700825*x12 + 0.130658077141322*x13 + 0.011611284128100368*x14 + 0.003308843851008588*x15 - 0.034720369779679246*x16 + 0.01740879953910111*x17 - 0.057644624220311205*x18 - 0.0009750294678626688*x19 - 0.00010802411637721935*x2 + 2.2087263378545163e-5*x20 - 0.0010542323299604322*x3 - 0.0030602100471835677*x4 - 1.6123923562484304*x5 - 0.0722310996037047*x6 - 4.613209671296473e-6*x7 - 5.0919700747260125e-6*x8 - 0.3287382061975398*x9 + 64.4729191948125
9,-0.02106488765094737*x0 + 0.007503773844253363*x1 + 0.11374548816273525*x10 - 0.08227278377399157*x11 + 0.009975424485700825*x12 + 0.130658077141322*x13 + 0.011611284128100368*x14 + 0.003308843851008588*x15 - 0.034720369779679246*x16 + 0.01740879953910111*x17 - 0.057644624220311205*x18 - 0.0009750294678626688*x19 - 0.00010802411637721935*x2 + 2.2087263378545163e-5*x20 - 0.0010542323299604322*x3 - 0.0030602100471835677*x4 - 1.6123923562484304*x5 - 0.0722310996037047*x6 - 4.613209671296473e-6*x7 - 5.0919700747260125e-6*x8 - 0.3287382061975398*x9 + 64.4729191948125
