,Taylor(with new sparse)
0,x1 + (3.07007717769422*x1 + x2 + log(exp(x1)))*cos(x2)
1,x1 + (3.07007717769422*x1 + x2 + log(exp(x1)))*cos(x2)
2,x1 + (3.07007717769422*x1 + x2 + log(exp(x1)))*cos(x2)
3,x1 + (3.07007717769422*x1 + x2 + log(exp(x1)))*cos(x2)
4,x1 + (3.07007717769422*x1 + x2 + log(exp(x1)))*cos(x2)
5,x1 + (3.07007717769422*x1 + x2 + log(exp(x1)))*cos(x2)
6,x1 + (3.07007717769422*x1 + x2 + log(exp(x1)))*cos(x2)
7,x1 + (3.07007717769422*x1 + x2 + log(exp(x1)))*cos(x2)
8,x1 + (3.07007717769422*x1 + x2 + log(exp(x1)))*cos(x2)
9,x1 + (3.07007717769422*x1 + x2 + log(exp(x1)))*cos(x2)
