,Taylor(with new sparse)
0,0.007130297510407351*x0 - 0.008489476513385979*x1 - 0.009645973452982006*x10 - 0.012292044835739604*x11 + 0.00036971151105844876*x12 - 0.0028053269952182003*x13 - 0.0023199813148638768*x14 - 0.010310279053101288*x15 + 0.002979830910831793*x16 - 0.00852974681821484*x17 - 0.00718507786955736*x18 - 0.009407760802085737*x19 - 0.011427307052919156*x2 + 0.016017171067537195*x20 - 0.013322612105523962*x21 + 0.0035520075683793746*x22 - 0.009209230672173647*x23 + 0.017320674310149994*x24 - 0.011726846309258881*x25 - 0.01635512345155249*x26 - 0.010086419061362269*x27 + 0.00967383284944873*x28 - 0.006687071137816031*x29 - 0.004526191485038567*x3 + 0.008082396470471903*x30 + 0.0059670484803015095*x31 + 0.02113987064127647*x32 - 0.0015708131686102795*x33 - 0.020378451934081786*x34 + 0.006136688391976285*x35 + 0.013908778672831296*x4 - 0.004313359337042097*x5 + 0.0013433039717146284*x6 + 0.008892221917103671*x7 + 0.033725714628480244*x8 - 0.01065673211298291*x9 + 9.151815359970325
1,0.007130297510407351*x0 - 0.008489476513385979*x1 - 0.009645973452982006*x10 - 0.012292044835739604*x11 + 0.00036971151105844876*x12 - 0.0028053269952182003*x13 - 0.0023199813148638768*x14 - 0.010310279053101288*x15 + 0.002979830910831793*x16 - 0.00852974681821484*x17 - 0.00718507786955736*x18 - 0.009407760802085737*x19 - 0.011427307052919156*x2 + 0.016017171067537195*x20 - 0.013322612105523962*x21 + 0.0035520075683793746*x22 - 0.009209230672173647*x23 + 0.017320674310149994*x24 - 0.011726846309258881*x25 - 0.01635512345155249*x26 - 0.010086419061362269*x27 + 0.00967383284944873*x28 - 0.006687071137816031*x29 - 0.004526191485038567*x3 + 0.008082396470471903*x30 + 0.0059670484803015095*x31 + 0.02113987064127647*x32 - 0.0015708131686102795*x33 - 0.020378451934081786*x34 + 0.006136688391976285*x35 + 0.013908778672831296*x4 - 0.004313359337042097*x5 + 0.0013433039717146284*x6 + 0.008892221917103671*x7 + 0.033725714628480244*x8 - 0.01065673211298291*x9 + 9.151815359970325
2,0.007130297510407351*x0 - 0.008489476513385979*x1 - 0.009645973452982006*x10 - 0.012292044835739604*x11 + 0.00036971151105844876*x12 - 0.0028053269952182003*x13 - 0.0023199813148638768*x14 - 0.010310279053101288*x15 + 0.002979830910831793*x16 - 0.00852974681821484*x17 - 0.00718507786955736*x18 - 0.009407760802085737*x19 - 0.011427307052919156*x2 + 0.016017171067537195*x20 - 0.013322612105523962*x21 + 0.0035520075683793746*x22 - 0.009209230672173647*x23 + 0.017320674310149994*x24 - 0.011726846309258881*x25 - 0.01635512345155249*x26 - 0.010086419061362269*x27 + 0.00967383284944873*x28 - 0.006687071137816031*x29 - 0.004526191485038567*x3 + 0.008082396470471903*x30 + 0.0059670484803015095*x31 + 0.02113987064127647*x32 - 0.0015708131686102795*x33 - 0.020378451934081786*x34 + 0.006136688391976285*x35 + 0.013908778672831296*x4 - 0.004313359337042097*x5 + 0.0013433039717146284*x6 + 0.008892221917103671*x7 + 0.033725714628480244*x8 - 0.01065673211298291*x9 + 9.151815359970325
3,0.007130297510407351*x0 - 0.008489476513385979*x1 - 0.009645973452982006*x10 - 0.012292044835739604*x11 + 0.00036971151105844876*x12 - 0.0028053269952182003*x13 - 0.0023199813148638768*x14 - 0.010310279053101288*x15 + 0.002979830910831793*x16 - 0.00852974681821484*x17 - 0.00718507786955736*x18 - 0.009407760802085737*x19 - 0.011427307052919156*x2 + 0.016017171067537195*x20 - 0.013322612105523962*x21 + 0.0035520075683793746*x22 - 0.009209230672173647*x23 + 0.017320674310149994*x24 - 0.011726846309258881*x25 - 0.01635512345155249*x26 - 0.010086419061362269*x27 + 0.00967383284944873*x28 - 0.006687071137816031*x29 - 0.004526191485038567*x3 + 0.008082396470471903*x30 + 0.0059670484803015095*x31 + 0.02113987064127647*x32 - 0.0015708131686102795*x33 - 0.020378451934081786*x34 + 0.006136688391976285*x35 + 0.013908778672831296*x4 - 0.004313359337042097*x5 + 0.0013433039717146284*x6 + 0.008892221917103671*x7 + 0.033725714628480244*x8 - 0.01065673211298291*x9 + 9.151815359970325
4,0.007130297510407351*x0 - 0.008489476513385979*x1 - 0.009645973452982006*x10 - 0.012292044835739604*x11 + 0.00036971151105844876*x12 - 0.0028053269952182003*x13 - 0.0023199813148638768*x14 - 0.010310279053101288*x15 + 0.002979830910831793*x16 - 0.00852974681821484*x17 - 0.00718507786955736*x18 - 0.009407760802085737*x19 - 0.011427307052919156*x2 + 0.016017171067537195*x20 - 0.013322612105523962*x21 + 0.0035520075683793746*x22 - 0.009209230672173647*x23 + 0.017320674310149994*x24 - 0.011726846309258881*x25 - 0.01635512345155249*x26 - 0.010086419061362269*x27 + 0.00967383284944873*x28 - 0.006687071137816031*x29 - 0.004526191485038567*x3 + 0.008082396470471903*x30 + 0.0059670484803015095*x31 + 0.02113987064127647*x32 - 0.0015708131686102795*x33 - 0.020378451934081786*x34 + 0.006136688391976285*x35 + 0.013908778672831296*x4 - 0.004313359337042097*x5 + 0.0013433039717146284*x6 + 0.008892221917103671*x7 + 0.033725714628480244*x8 - 0.01065673211298291*x9 + 9.151815359970325
5,0.007130297510407351*x0 - 0.008489476513385979*x1 - 0.009645973452982006*x10 - 0.012292044835739604*x11 + 0.00036971151105844876*x12 - 0.0028053269952182003*x13 - 0.0023199813148638768*x14 - 0.010310279053101288*x15 + 0.002979830910831793*x16 - 0.00852974681821484*x17 - 0.00718507786955736*x18 - 0.009407760802085737*x19 - 0.011427307052919156*x2 + 0.016017171067537195*x20 - 0.013322612105523962*x21 + 0.0035520075683793746*x22 - 0.009209230672173647*x23 + 0.017320674310149994*x24 - 0.011726846309258881*x25 - 0.01635512345155249*x26 - 0.010086419061362269*x27 + 0.00967383284944873*x28 - 0.006687071137816031*x29 - 0.004526191485038567*x3 + 0.008082396470471903*x30 + 0.0059670484803015095*x31 + 0.02113987064127647*x32 - 0.0015708131686102795*x33 - 0.020378451934081786*x34 + 0.006136688391976285*x35 + 0.013908778672831296*x4 - 0.004313359337042097*x5 + 0.0013433039717146284*x6 + 0.008892221917103671*x7 + 0.033725714628480244*x8 - 0.01065673211298291*x9 + 9.151815359970325
6,0.007130297510407351*x0 - 0.008489476513385979*x1 - 0.009645973452982006*x10 - 0.012292044835739604*x11 + 0.00036971151105844876*x12 - 0.0028053269952182003*x13 - 0.0023199813148638768*x14 - 0.010310279053101288*x15 + 0.002979830910831793*x16 - 0.00852974681821484*x17 - 0.00718507786955736*x18 - 0.009407760802085737*x19 - 0.011427307052919156*x2 + 0.016017171067537195*x20 - 0.013322612105523962*x21 + 0.0035520075683793746*x22 - 0.009209230672173647*x23 + 0.017320674310149994*x24 - 0.011726846309258881*x25 - 0.01635512345155249*x26 - 0.010086419061362269*x27 + 0.00967383284944873*x28 - 0.006687071137816031*x29 - 0.004526191485038567*x3 + 0.008082396470471903*x30 + 0.0059670484803015095*x31 + 0.02113987064127647*x32 - 0.0015708131686102795*x33 - 0.020378451934081786*x34 + 0.006136688391976285*x35 + 0.013908778672831296*x4 - 0.004313359337042097*x5 + 0.0013433039717146284*x6 + 0.008892221917103671*x7 + 0.033725714628480244*x8 - 0.01065673211298291*x9 + 9.151815359970325
7,0.007130297510407351*x0 - 0.008489476513385979*x1 - 0.009645973452982006*x10 - 0.012292044835739604*x11 + 0.00036971151105844876*x12 - 0.0028053269952182003*x13 - 0.0023199813148638768*x14 - 0.010310279053101288*x15 + 0.002979830910831793*x16 - 0.00852974681821484*x17 - 0.00718507786955736*x18 - 0.009407760802085737*x19 - 0.011427307052919156*x2 + 0.016017171067537195*x20 - 0.013322612105523962*x21 + 0.0035520075683793746*x22 - 0.009209230672173647*x23 + 0.017320674310149994*x24 - 0.011726846309258881*x25 - 0.01635512345155249*x26 - 0.010086419061362269*x27 + 0.00967383284944873*x28 - 0.006687071137816031*x29 - 0.004526191485038567*x3 + 0.008082396470471903*x30 + 0.0059670484803015095*x31 + 0.02113987064127647*x32 - 0.0015708131686102795*x33 - 0.020378451934081786*x34 + 0.006136688391976285*x35 + 0.013908778672831296*x4 - 0.004313359337042097*x5 + 0.0013433039717146284*x6 + 0.008892221917103671*x7 + 0.033725714628480244*x8 - 0.01065673211298291*x9 + 9.151815359970325
8,0.007130297510407351*x0 - 0.008489476513385979*x1 - 0.009645973452982006*x10 - 0.012292044835739604*x11 + 0.00036971151105844876*x12 - 0.0028053269952182003*x13 - 0.0023199813148638768*x14 - 0.010310279053101288*x15 + 0.002979830910831793*x16 - 0.00852974681821484*x17 - 0.00718507786955736*x18 - 0.009407760802085737*x19 - 0.011427307052919156*x2 + 0.016017171067537195*x20 - 0.013322612105523962*x21 + 0.0035520075683793746*x22 - 0.009209230672173647*x23 + 0.017320674310149994*x24 - 0.011726846309258881*x25 - 0.01635512345155249*x26 - 0.010086419061362269*x27 + 0.00967383284944873*x28 - 0.006687071137816031*x29 - 0.004526191485038567*x3 + 0.008082396470471903*x30 + 0.0059670484803015095*x31 + 0.02113987064127647*x32 - 0.0015708131686102795*x33 - 0.020378451934081786*x34 + 0.006136688391976285*x35 + 0.013908778672831296*x4 - 0.004313359337042097*x5 + 0.0013433039717146284*x6 + 0.008892221917103671*x7 + 0.033725714628480244*x8 - 0.01065673211298291*x9 + 9.151815359970325
9,0.007130297510407351*x0 - 0.008489476513385979*x1 - 0.009645973452982006*x10 - 0.012292044835739604*x11 + 0.00036971151105844876*x12 - 0.0028053269952182003*x13 - 0.0023199813148638768*x14 - 0.010310279053101288*x15 + 0.002979830910831793*x16 - 0.00852974681821484*x17 - 0.00718507786955736*x18 - 0.009407760802085737*x19 - 0.011427307052919156*x2 + 0.016017171067537195*x20 - 0.013322612105523962*x21 + 0.0035520075683793746*x22 - 0.009209230672173647*x23 + 0.017320674310149994*x24 - 0.011726846309258881*x25 - 0.01635512345155249*x26 - 0.010086419061362269*x27 + 0.00967383284944873*x28 - 0.006687071137816031*x29 - 0.004526191485038567*x3 + 0.008082396470471903*x30 + 0.0059670484803015095*x31 + 0.02113987064127647*x32 - 0.0015708131686102795*x33 - 0.020378451934081786*x34 + 0.006136688391976285*x35 + 0.013908778672831296*x4 - 0.004313359337042097*x5 + 0.0013433039717146284*x6 + 0.008892221917103671*x7 + 0.033725714628480244*x8 - 0.01065673211298291*x9 + 9.151815359970325
