,Taylor(with new sparse)
0,0.3157229620674363*x0 + 0.13487568093187624*x1 - 0.02539245899120568*x10 + 0.261238878582897*x11 + 0.8031242128917255*x12 + 0.3389416115458117*x13 - 0.007864171234252081*x2 + 0.07738266472968494*x3 - 0.09169900571349836*x4 - 0.04517482388765537*x5 - 0.25833019637899507*x6 - 0.005614978296835077*x7 - 0.39813268439391*x8 + 0.4312988959930014*x9 - 19.229283287551958
1,0.3157229620674363*x0 + 0.13487568093187624*x1 - 0.02539245899120568*x10 + 0.261238878582897*x11 + 0.8031242128917255*x12 + 0.3389416115458117*x13 - 0.007864171234252081*x2 + 0.07738266472968494*x3 - 0.09169900571349836*x4 - 0.04517482388765537*x5 - 0.25833019637899507*x6 - 0.005614978296835077*x7 - 0.39813268439391*x8 + 0.4312988959930014*x9 - 19.229283287551958
2,0.3157229620674363*x0 + 0.13487568093187624*x1 - 0.02539245899120568*x10 + 0.261238878582897*x11 + 0.8031242128917255*x12 + 0.3389416115458117*x13 - 0.007864171234252081*x2 + 0.07738266472968494*x3 - 0.09169900571349836*x4 - 0.04517482388765537*x5 - 0.25833019637899507*x6 - 0.005614978296835077*x7 - 0.39813268439391*x8 + 0.4312988959930014*x9 - 19.229283287551958
3,0.3157229620674363*x0 + 0.13487568093187624*x1 - 0.02539245899120568*x10 + 0.261238878582897*x11 + 0.8031242128917255*x12 + 0.3389416115458117*x13 - 0.007864171234252081*x2 + 0.07738266472968494*x3 - 0.09169900571349836*x4 - 0.04517482388765537*x5 - 0.25833019637899507*x6 - 0.005614978296835077*x7 - 0.39813268439391*x8 + 0.4312988959930014*x9 - 19.229283287551958
4,0.3157229620674363*x0 + 0.13487568093187624*x1 - 0.02539245899120568*x10 + 0.261238878582897*x11 + 0.8031242128917255*x12 + 0.3389416115458117*x13 - 0.007864171234252081*x2 + 0.07738266472968494*x3 - 0.09169900571349836*x4 - 0.04517482388765537*x5 - 0.25833019637899507*x6 - 0.005614978296835077*x7 - 0.39813268439391*x8 + 0.4312988959930014*x9 - 19.229283287551958
5,0.3157229620674363*x0 + 0.13487568093187624*x1 - 0.02539245899120568*x10 + 0.261238878582897*x11 + 0.8031242128917255*x12 + 0.3389416115458117*x13 - 0.007864171234252081*x2 + 0.07738266472968494*x3 - 0.09169900571349836*x4 - 0.04517482388765537*x5 - 0.25833019637899507*x6 - 0.005614978296835077*x7 - 0.39813268439391*x8 + 0.4312988959930014*x9 - 19.229283287551958
6,0.3157229620674363*x0 + 0.13487568093187624*x1 - 0.02539245899120568*x10 + 0.261238878582897*x11 + 0.8031242128917255*x12 + 0.3389416115458117*x13 - 0.007864171234252081*x2 + 0.07738266472968494*x3 - 0.09169900571349836*x4 - 0.04517482388765537*x5 - 0.25833019637899507*x6 - 0.005614978296835077*x7 - 0.39813268439391*x8 + 0.4312988959930014*x9 - 19.229283287551958
7,0.3157229620674363*x0 + 0.13487568093187624*x1 - 0.02539245899120568*x10 + 0.261238878582897*x11 + 0.8031242128917255*x12 + 0.3389416115458117*x13 - 0.007864171234252081*x2 + 0.07738266472968494*x3 - 0.09169900571349836*x4 - 0.04517482388765537*x5 - 0.25833019637899507*x6 - 0.005614978296835077*x7 - 0.39813268439391*x8 + 0.4312988959930014*x9 - 19.229283287551958
8,0.3157229620674363*x0 + 0.13487568093187624*x1 - 0.02539245899120568*x10 + 0.261238878582897*x11 + 0.8031242128917255*x12 + 0.3389416115458117*x13 - 0.007864171234252081*x2 + 0.07738266472968494*x3 - 0.09169900571349836*x4 - 0.04517482388765537*x5 - 0.25833019637899507*x6 - 0.005614978296835077*x7 - 0.39813268439391*x8 + 0.4312988959930014*x9 - 19.229283287551958
9,0.3157229620674363*x0 + 0.13487568093187624*x1 - 0.02539245899120568*x10 + 0.261238878582897*x11 + 0.8031242128917255*x12 + 0.3389416115458117*x13 - 0.007864171234252081*x2 + 0.07738266472968494*x3 - 0.09169900571349836*x4 - 0.04517482388765537*x5 - 0.25833019637899507*x6 - 0.005614978296835077*x7 - 0.39813268439391*x8 + 0.4312988959930014*x9 - 19.229283287551958
