,Taylor(with new sparse)
0,-0.8367204450855592*x0 + 0.2132093154753385*x1 - 0.03044184642845056*x2 - 0.376673741794732*x3 + 0.012030665799040677
1,-0.8367204450855592*x0 + 0.2132093154753385*x1 - 0.03044184642845056*x2 - 0.376673741794732*x3 + 0.012030665799040677
2,-0.8367204450855592*x0 + 0.2132093154753385*x1 - 0.03044184642845056*x2 - 0.376673741794732*x3 + 0.012030665799040677
3,-0.8367204450855592*x0 + 0.2132093154753385*x1 - 0.03044184642845056*x2 - 0.376673741794732*x3 + 0.012030665799040677
4,-0.8367204450855592*x0 + 0.2132093154753385*x1 - 0.03044184642845056*x2 - 0.376673741794732*x3 + 0.012030665799040677
5,-0.8367204450855592*x0 + 0.2132093154753385*x1 - 0.03044184642845056*x2 - 0.376673741794732*x3 + 0.012030665799040677
6,-0.8367204450855592*x0 + 0.2132093154753385*x1 - 0.03044184642845056*x2 - 0.376673741794732*x3 + 0.012030665799040677
7,-0.8367204450855592*x0 + 0.2132093154753385*x1 - 0.03044184642845056*x2 - 0.376673741794732*x3 + 0.012030665799040677
8,-0.8367204450855592*x0 + 0.2132093154753385*x1 - 0.03044184642845056*x2 - 0.376673741794732*x3 + 0.012030665799040677
9,-0.8367204450855592*x0 + 0.2132093154753385*x1 - 0.03044184642845056*x2 - 0.376673741794732*x3 + 0.012030665799040677
