,Taylor(with new sparse)
0,-4.584629543943531e-12*x0**2 + 0.9999999999958288*x0*x1 + 4.4589733381311669e-13*x0 + 1.6538266886394478e-13*x1**2 + 1.5381883863418294e-13*x1 - 1.2179292778024663e-14
1,-4.8359877863103525e-12*x0**2 + 0.9999999999982415*x0*x1 + 2.134061156955358e-13*x0 + 3.767889606607722e-13*x1**2 + 1.0399465305826333e-13*x1 - 9.0543476782465292e-15
2,1.7964535120299457e-11*x0**2 + 0.9999999999980183*x0*x1 - 6.1556846859406322e-13*x0 + 1.6520963177469121e-12*x1**2 - 1.3977566933748298e-13*x1 + 7.6739253786119871e-15
3,1.3223036313594938e-9*x0**2 + 0.9999999999691115*x0*x1 - 3.8076923450196254e-11*x0 - 1.6026758375114828e-10*x1**2 + 1.6060093535543059e-11*x1 - 9.038415835541623e-14
4,-8.181699476787895e-12*x0**2 + 0.9999999999978746*x0*x1 + 3.7375517177723472e-13*x0 + 8.753283978574318e-14*x1**2 + 1.1963692569168932e-13*x1 - 9.8426990299479988e-15
5,-1.790503267408661e-12*x0**2 + 1.0000000000002336*x0*x1 + 1.4193648426724659e-13*x0 - 5.152930293794652e-13*x1**2 + 5.6686453491286426e-14*x1 - 2.8884043729937928e-15
6,1.3515878846979202e-11*x0**2 + 0.9999999999904717*x0*x1 + 8.4975418628702171e-13*x0 - 3.0777782888937e-12*x1**2 + 7.1536208217943403e-13*x1 - 3.746535145923019e-14
7,-9.64708861793092e-13*x0**2 + 0.9999999999969956*x0*x1 - 1.0428554721164662e-12*x0 + 6.373310514697433e-12*x1**2 - 5.1072610496218779e-13*x1 + 1.8334141645734263e-14
8,1.3694159940575111e-11*x0**2 + 1.000000000000176*x0*x1 - 3.7152681105212526e-13*x0 - 4.036094263558899e-13*x1**2 - 2.3303787285294808e-14*x1 + 5.559493126007075e-15
9,-1.2344676134773692e-10*x0**2 + 1.0000000000338647*x0*x1 + 2.4886606447491189e-12*x0 + 5.61523312697027e-12*x1**2 - 1.168841255337269e-12*x1 + 1.7805489748628014e-14
