,Taylor(with new sparse)
0,-0.0009647000080714815*x0 + 0.019619244527589282*x1 - 0.00013605915701618551
1,0.004761313831799168*x0 + 0.004412814595450371*x1 + 0.00045174760664637721
2,-0.006051437889549676*x0 - 0.00206271385478808*x1 - 0.00062272564046346378
3,-0.011120778868534693*x0 - 0.02115107204317217*x1 - 0.0011102703726521914
4,0.0006872503404398826*x0 + 0.014600748669389593*x1 + 3.4159891890134847e-5
5,-0.007240327597140829*x0 + 0.010029000762102615*x1 - 0.00075378847167778081
6,0.001792448111383678*x0 + 0.003090244351103133*x1 + 0.00015626902541312389
7,0.0007062177699860759*x0 + 0.01539590067960439*x1 + 3.525368470556958e-5
8,-0.0022677013003530107*x0 + 0.019496775501793382*x1 - 0.00026620354921116007
9,-0.0009591146367495869*x0 + 0.016106323096664894*x1 - 0.00013195545154956955
