r_best,r_max,r_avg_full,r_avg_sub,l_avg_full,l_avg_sub,ewma,n_unique_full,n_unique_sub,n_novel_full,n_novel_sub,a_ent_full,a_ent_sub,invalid_avg_full,invalid_avg_sub,baseline,time,nevals
8.400874733924865723e-01,8.400874733924865723e-01,1.472641378641128540e-01,4.905208051204681396e-01,1.569900035858154297e+01,1.353999996185302734e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,1.000000000000000000e+03,5.000000000000000000e+01,1.994131207466125488e+00,1.940975069999694824e+00,4.740000069141387939e-01,0.000000000000000000e+00,3.984024524688720703e-01,1.547804117202758789e+00,1.000000000000000000e+03
9.976524114608764648e-01,9.976524114608764648e-01,1.458840519189834595e-01,5.097402334213256836e-01,1.528600025177001953e+01,1.430000019073486328e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,1.000000000000000000e+03,5.000000000000000000e+01,2.004995584487915039e+00,1.893383622169494629e+00,4.609999954700469971e-01,0.000000000000000000e+00,3.920704126358032227e-01,9.740018844604492188e-02,2.000000000000000000e+03
9.976524114608764648e-01,8.820320367813110352e-01,1.474285572767257690e-01,4.862489998340606689e-01,1.555799961090087891e+01,1.596000003814697266e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,1.000000000000000000e+03,5.000000000000000000e+01,2.007930517196655273e+00,1.866644263267517090e+00,4.690000116825103760e-01,0.000000000000000000e+00,3.970193564891815186e-01,1.001870632171630859e-01,3.000000000000000000e+03
9.976524114608764648e-01,7.066748142242431641e-01,1.453545689582824707e-01,4.591372013092041016e-01,1.553800010681152344e+01,1.438000011444091797e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,1.000000000000000000e+03,5.000000000000000000e+01,1.991393923759460449e+00,1.914070606231689453e+00,4.539999961853027344e-01,0.000000000000000000e+00,3.907291889190673828e-01,9.505581855773925781e-02,4.000000000000000000e+03
9.976524114608764648e-01,6.489166617393493652e-01,1.453953236341476440e-01,4.565279483795166016e-01,1.518400001525878906e+01,1.457999992370605469e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,1.000000000000000000e+03,5.000000000000000000e+01,2.013470411300659180e+00,1.916208863258361816e+00,4.699999988079071045e-01,0.000000000000000000e+00,3.901895582675933838e-01,9.871006011962890625e-02,5.000000000000000000e+03
9.976524114608764648e-01,7.555982470512390137e-01,1.517419815063476562e-01,4.873260259628295898e-01,1.538500022888183594e+01,1.534000015258789062e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,9.950000000000000000e+02,5.000000000000000000e+01,2.004644155502319336e+00,1.891279339790344238e+00,4.469999969005584717e-01,0.000000000000000000e+00,3.927922248840332031e-01,9.654092788696289062e-02,6.000000000000000000e+03
9.976524114608764648e-01,9.976524114608764648e-01,1.579541414976119995e-01,5.141735672950744629e-01,1.513899993896484375e+01,1.480000019073486328e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,9.970000000000000000e+02,4.800000000000000000e+01,2.016272783279418945e+00,1.893263697624206543e+00,4.410000145435333252e-01,0.000000000000000000e+00,3.925463259220123291e-01,9.919190406799316406e-02,7.000000000000000000e+03
9.976524114608764648e-01,7.405695915222167969e-01,1.506608724594116211e-01,4.953528642654418945e-01,1.520199966430664062e+01,1.506000041961669922e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,1.000000000000000000e+03,5.000000000000000000e+01,2.005418300628662109e+00,1.894085168838500977e+00,4.569999873638153076e-01,0.000000000000000000e+00,3.968911767005920410e-01,9.648203849792480469e-02,8.000000000000000000e+03
9.976524114608764648e-01,7.087860107421875000e-01,1.544010341167449951e-01,4.746676683425903320e-01,1.520800018310546875e+01,1.418000030517578125e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,9.950000000000000000e+02,5.000000000000000000e+01,2.006865739822387695e+00,1.894432783126831055e+00,4.460000097751617432e-01,0.000000000000000000e+00,3.961304128170013428e-01,2.044780254364013672e-01,9.000000000000000000e+03
9.976524114608764648e-01,7.004454135894775391e-01,1.605218648910522461e-01,4.705822467803955078e-01,1.521899986267089844e+01,1.485999965667724609e+01,-1.000000000000000000e+00,9.990000000000000000e+02,5.000000000000000000e+01,9.950000000000000000e+02,5.000000000000000000e+01,1.999643087387084961e+00,1.870887875556945801e+00,4.090000092983245850e-01,0.000000000000000000e+00,3.927737176418304443e-01,9.701299667358398438e-02,1.000000000000000000e+04
9.976524114608764648e-01,7.959511876106262207e-01,1.538369655609130859e-01,5.186231136322021484e-01,1.519200038909912109e+01,1.425490188598632812e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.100000000000000000e+01,9.940000000000000000e+02,5.000000000000000000e+01,2.017290115356445312e+00,1.944709777832031250e+00,4.320000112056732178e-01,0.000000000000000000e+00,4.190444350242614746e-01,1.006779670715332031e-01,1.100000000000000000e+04
9.976524114608764648e-01,6.946295499801635742e-01,1.549668759107589722e-01,4.523943662643432617e-01,1.509000015258789062e+01,1.415999984741210938e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,9.920000000000000000e+02,5.000000000000000000e+01,2.014686584472656250e+00,1.898287653923034668e+00,4.449999928474426270e-01,0.000000000000000000e+00,3.898860514163970947e-01,9.812092781066894531e-02,1.200000000000000000e+04
9.976524114608764648e-01,8.627698421478271484e-01,1.501842588186264038e-01,4.611109495162963867e-01,1.503800010681152344e+01,1.511538505554199219e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.200000000000000000e+01,9.940000000000000000e+02,5.200000000000000000e+01,2.008628845214843750e+00,1.875818967819213867e+00,4.550000131130218506e-01,0.000000000000000000e+00,3.901895582675933838e-01,9.723067283630371094e-02,1.300000000000000000e+04
9.976524114608764648e-01,8.733668327331542969e-01,1.574906557798385620e-01,4.537299871444702148e-01,1.478800010681152344e+01,1.435999965667724609e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,9.930000000000000000e+02,4.900000000000000000e+01,2.015974283218383789e+00,1.916339039802551270e+00,4.219999909400939941e-01,0.000000000000000000e+00,3.958471715450286865e-01,9.605407714843750000e-02,1.400000000000000000e+04
9.976524114608764648e-01,9.042405486106872559e-01,1.514135897159576416e-01,5.080415010452270508e-01,1.514200019836425781e+01,1.645999908447265625e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,9.940000000000000000e+02,5.000000000000000000e+01,2.015413284301757812e+00,1.851724386215209961e+00,4.550000131130218506e-01,0.000000000000000000e+00,3.991617262363433838e-01,1.008539199829101562e-01,1.500000000000000000e+04
9.976524114608764648e-01,8.661753535270690918e-01,1.524544656276702881e-01,4.834277927875518799e-01,1.510900020599365234e+01,1.485999965667724609e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,9.960000000000000000e+02,4.900000000000000000e+01,1.998548865318298340e+00,1.885893702507019043e+00,4.490000009536743164e-01,0.000000000000000000e+00,3.932296931743621826e-01,9.480500221252441406e-02,1.600000000000000000e+04
9.976524114608764648e-01,9.875317215919494629e-01,1.626838147640228271e-01,5.112081170082092285e-01,1.486299991607666016e+01,1.503999996185302734e+01,-1.000000000000000000e+00,9.990000000000000000e+02,5.000000000000000000e+01,9.950000000000000000e+02,5.000000000000000000e+01,2.017672061920166016e+00,1.875204920768737793e+00,4.009999930858612061e-01,0.000000000000000000e+00,4.006900191307067871e-01,9.680104255676269531e-02,1.700000000000000000e+04
9.976524114608764648e-01,7.286965250968933105e-01,1.528999805450439453e-01,4.723436534404754639e-01,1.510299968719482422e+01,1.384000015258789062e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,9.920000000000000000e+02,5.000000000000000000e+01,2.009907245635986328e+00,1.931273102760314941e+00,4.280000030994415283e-01,0.000000000000000000e+00,3.922336995601654053e-01,9.854173660278320312e-02,1.800000000000000000e+04
9.976524114608764648e-01,9.352700710296630859e-01,1.516668349504470825e-01,4.978929162025451660e-01,1.519699954986572266e+01,1.597999954223632812e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,9.900000000000000000e+02,4.900000000000000000e+01,2.002095937728881836e+00,1.874289870262145996e+00,4.449999928474426270e-01,0.000000000000000000e+00,3.966256678104400635e-01,9.791493415832519531e-02,1.900000000000000000e+04
9.976524114608764648e-01,9.976524114608764648e-01,1.607291251420974731e-01,5.364862680435180664e-01,1.506499958038330078e+01,1.427999973297119141e+01,-1.000000000000000000e+00,1.000000000000000000e+03,5.000000000000000000e+01,9.890000000000000000e+02,4.900000000000000000e+01,1.994616031646728516e+00,1.890978693962097168e+00,4.259999990463256836e-01,0.000000000000000000e+00,4.147425293922424316e-01,9.604978561401367188e-02,2.000000000000000000e+04
