,MTaylor(with new sparse)
0,7.423760478025899e-51*x_0 + 8.616124689715931e-26*x_1 + 2.1924077252681063e-23
1,7.423760478025847e-51*x_0 + 8.616124689715904e-26*x_1 + 2.192407725268106e-23
2,7.42376047802586e-51*x_0 + 8.616124689715914e-26*x_1 + 2.1924077252681063e-23
3,7.423760478025879e-51*x_0 + 8.616124689715924e-26*x_1 + 2.192407725268106e-23
4,7.423760478025869e-51*x_0 + 8.616124689715912e-26*x_1 + 2.1924077252681063e-23
5,7.423760478025886e-51*x_0 + 8.616124689715926e-26*x_1 + 2.192407725268106e-23
6,7.42376047802589e-51*x_0 + 8.61612468971593e-26*x_1 + 2.192407725268106e-23
7,7.423760478025892e-51*x_0 + 8.616124689715942e-26*x_1 + 2.192407725268106e-23
8,7.4237604780259e-51*x_0 + 8.616124689715937e-26*x_1 + 2.1924077252681063e-23
9,7.423760478025838e-51*x_0 + 8.6161246897159e-26*x_1 + 2.192407725268106e-23
