,MTaylor(with new sparse)
0,3.4028234663852886e+38
1,3.4028234663852886e+38
2,3.4028234663852886e+38
3,3.4028234663852886e+38
4,3.4028234663852886e+38
5,3.4028234663852886e+38
6,3.4028234663852886e+38
7,3.4028234663852886e+38
8,3.4028234663852886e+38
9,3.4028234663852886e+38
10,3.4028234663852886e+38
11,3.4028234663852886e+38
12,3.4028234663852886e+38
13,3.4028234663852886e+38
14,3.4028234663852886e+38
15,3.4028234663852886e+38
16,3.4028234663852886e+38
17,3.4028234663852886e+38
18,3.4028234663852886e+38
19,3.4028234663852886e+38
20,3.4028234663852886e+38
21,3.4028234663852886e+38
22,3.4028234663852886e+38
23,3.4028234663852886e+38
24,3.4028234663852886e+38
25,3.4028234663852886e+38
26,3.4028234663852886e+38
27,3.4028234663852886e+38
28,3.4028234663852886e+38
29,3.4028234663852886e+38
