,MTaylor(with new sparse)
0,-2.081933338283679e-14*x_0**2 + 0.9999999999998868*x_0*x_1 + 1.2958612048002971e-12*x_0 - 1.2279347987948033e-13*x_1**2 - 8.5773575742020824e-13*x_1 - 1.2197321061155342e-12
1,-5.5978664897773565e-14*x_0**2 + 0.9999999999999685*x_0*x_1 + 5.4699083804066184e-15*x_0 + 3.77758071572673e-14*x_1**2 - 1.8882465036007545e-13*x_1 + 3.5755903446399451e-15
2,1.3115464307125613e-13*x_0**2 + 0.9999999999999404*x_0*x_1 + 4.4110917175876896e-13*x_0 - 2.1825098653528553e-14*x_1**2 - 2.7191248384850208e-13*x_1 + 9.8483504337720795e-16
3,-2.081933338283679e-14*x_0**2 + 0.9999999999998868*x_0*x_1 + 1.2958612048002971e-12*x_0 - 1.2279347987948033e-13*x_1**2 - 8.5773575742020824e-13*x_1 - 1.2197321061155342e-12
4,-1.3642512783444808e-14*x_0**2 + 0.9999999999999267*x_0*x_1 - 8.492720415809174e-13*x_0 - 7.476099241041083e-14*x_1**2 + 7.8124312574701094e-13*x_1 - 1.2245743698582889e-13
5,-1.1821320603141923e-13*x_0**2 + 1.0000000000001958*x_0*x_1 + 5.6401237846781527e-13*x_0 + 7.551712949921764e-14*x_1**2 - 6.8875981307225942e-13*x_1 - 1.7240028848952704e-13
6,-2.081933338283679e-14*x_0**2 + 0.9999999999998868*x_0*x_1 + 1.2958612048002971e-12*x_0 - 1.2279347987948033e-13*x_1**2 - 8.5773575742020824e-13*x_1 - 1.2197321061155342e-12
7,-2.081933338283679e-14*x_0**2 + 0.9999999999998868*x_0*x_1 + 1.2958612048002971e-12*x_0 - 1.2279347987948033e-13*x_1**2 - 8.5773575742020824e-13*x_1 - 1.2197321061155342e-12
8,-4.282018678603646e-14*x_0**2 + 1.0000000000000178*x_0*x_1 - 7.0955524442140039e-13*x_0 + 6.845691705039298e-14*x_1**2 - 2.2127265297822163e-13*x_1 - 8.6951713190730473e-13
9,1.872486164990599e-14*x_0**2 + 0.9999999999999817*x_0*x_1 - 1.965094753586527e-14*x_0 + 1.1288934219948377e-13*x_1**2 + 3.2644633524148148e-13*x_1 + 1.6359613316807575e-13
