,BingoCPP,Bingo,GpBingo,KeplarBingo,KeplarBingoCPP,Operon,OperonBingo,MTaylor,TaylorBingo,KeplarMBingo
0,86.08988213539124,46.0298840999603,60.06716251373291,19.818568229675293,25.083035707473755,1.3138453960418701,77.04098391532898,2069.918564081192,45.418304681777954,731.5979578495026
1,67.3056435585022,32.1637899875641,55.81446146965027,18.14409112930298,30.719436407089233,1.9001929759979248,72.84645295143127,2190.6564865112305,42.56331014633179,641.9205622673035
2,73.79764008522034,26.9740300178528,61.21191883087158,19.83176302909851,27.167423009872437,1.013587236404419,71.3549222946167,2091.5681552886963,42.09735441207886,655.4327352046967
3,94.0880925655365,29.4188187122345,208.4609501361847,17.993902444839478,36.11126971244812,1.260253667831421,72.97521710395813,2059.6000139713287,43.03803730010986,705.2636804580688
4,134.86144065856934,25.6354289054871,187.33077120780945,21.45534110069275,27.25816798210144,1.4874131679534912,76.76480531692505,2061.0938279628754,42.3820686340332,674.6349012851715
5,79.61821508407593,29.0280501842499,63.656407833099365,17.732430696487427,26.369940996170044,1.375622034072876,78.82698726654053,2196.2531127929688,45.074315547943115,718.5329494476318
6,71.12656736373901,28.4689977169037,131.81860065460205,25.610265254974365,53.148112535476685,1.2080390453338623,76.25455904006958,2144.2919714450836,44.096086263656616,682.7504146099091
7,105.26369452476501,31.5125052928925,52.55511116981506,16.855879068374634,39.401556730270386,1.121131181716919,76.2087972164154,2285.5278108119965,42.91244292259216,706.3519186973572
8,107.52874565124512,30.4196343421936,1719.0510942935944,19.402401447296143,24.354852437973022,1.1579186916351318,75.47455954551697,2120.0363824367523,42.66360807418823,735.8534362316132
9,76.25562334060669,35.4546122550964,611.115763425827,17.468816995620728,31.830906629562378,1.133319616317749,71.86994576454163,2200.3324971199036,40.192530155181885,711.9237861633301
,taylorGP
0,26.04643678665161
1,28.33475422859192
2,28.08065104484558
3,28.51242423057556
4,28.552138805389404
5,28.078092098236084
6,29.513074159622192
7,28.975924253463745
8,28.26125693321228
9,29.53240180015564
,taylorGP
0,48.27584171295166
1,28.293860912322998
2,29.93998694419861
3,31.802074909210205
4,31.49533987045288
5,32.85791611671448
6,31.95898962020874
7,32.48356342315674
8,32.691094636917114
9,32.61066269874573
