,MTaylor(with new sparse)
0,0.0034362905704162995*x_0 - 0.006845998963542436*x_1 + 0.07631225835463759*x_10 - 0.029106262532758168*x_11 + 0.006895026998539848*x_12 + 0.015172056742051663*x_13 - 0.021536120479943698*x_14 + 0.0152354562439239*x_15 + 0.0008717090618176134*x_16 + 0.0028336923878863485*x_17 + 0.0009264253165347827*x_18 - 0.0005936213635808859*x_19 - 0.0005389641460791061*x_2 + 1.1980736903714725e-6*x_20 + 0.0025643673185442614*x_3 - 0.001234728375218369*x_4 - 0.443253080231597*x_5 - 0.10387387829628554*x_6 + 1.062308542330662e-6*x_7 - 1.4132081500017868e-6*x_8 - 0.09585386102325225*x_9 + 84.83225770092727
0,-0.011897665244910633*x_0 + 0.003354052759837559*x_1 + 0.11761415715628205*x_10 + 0.0030121665984284497*x_11 + 0.005167028823913046*x_12 + 0.09062034204626589*x_13 + 0.022934351998098314*x_14 - 0.025566057264453327*x_15 + 0.0013455077580248366*x_16 + 0.0014247731032406316*x_17 - 0.0011576635249685306*x_18 + 0.00010774272699516893*x_19 + 0.00021388965131992707*x_2 - 1.1259898506485377e-6*x_20 - 0.0007778981719040876*x_3 + 0.0007757272601150939*x_4 - 0.17882681388362198*x_5 - 0.011700494978725533*x_6 - 1.4724181635589916e-6*x_7 - 3.5208927002576756e-7*x_8 - 0.3209691176209261*x_9 + 85.47873186371079
1,0.004628822095620909*x_0 + 0.00335821401359092*x_1 + 0.0010364373918113172*x_10 - 0.03791416605079467*x_11 + 0.009995798989551882*x_12 - 0.003421277605566777*x_13 + 0.05802216873954246*x_14 - 0.04594728589359042*x_15 - 0.004325922565658169*x_16 - 0.004749204468251573*x_17 + 0.0014650115792685084*x_18 + 0.00032115376750103784*x_19 + 0.00037168069176265117*x_2 - 2.126333187171019e-7*x_20 + 0.00477871224151194*x_3 - 0.007601869204672116*x_4 + 0.2144340600722464*x_5 - 0.0072894035004339094*x_6 - 4.6868209344746274e-7*x_7 + 3.7056823116106843e-6*x_8 + 0.21479591773942955*x_9 + 83.55066288728834
2,0.004628822095620909*x_0 + 0.00335821401359092*x_1 + 0.0010364373918113172*x_10 - 0.03791416605079467*x_11 + 0.009995798989551882*x_12 - 0.003421277605566777*x_13 + 0.05802216873954246*x_14 - 0.04594728589359042*x_15 - 0.004325922565658169*x_16 - 0.004749204468251573*x_17 + 0.0014650115792685084*x_18 + 0.00032115376750103784*x_19 + 0.00037168069176265117*x_2 - 2.126333187171019e-7*x_20 + 0.00477871224151194*x_3 - 0.007601869204672116*x_4 + 0.2144340600722464*x_5 - 0.0072894035004339094*x_6 - 4.6868209344746274e-7*x_7 + 3.7056823116106843e-6*x_8 + 0.21479591773942955*x_9 + 83.55066288728834
3,0.004628822095620909*x_0 + 0.00335821401359092*x_1 + 0.0010364373918113172*x_10 - 0.03791416605079467*x_11 + 0.009995798989551882*x_12 - 0.003421277605566777*x_13 + 0.05802216873954246*x_14 - 0.04594728589359042*x_15 - 0.004325922565658169*x_16 - 0.004749204468251573*x_17 + 0.0014650115792685084*x_18 + 0.00032115376750103784*x_19 + 0.00037168069176265117*x_2 - 2.126333187171019e-7*x_20 + 0.00477871224151194*x_3 - 0.007601869204672116*x_4 + 0.2144340600722464*x_5 - 0.0072894035004339094*x_6 - 4.6868209344746274e-7*x_7 + 3.7056823116106843e-6*x_8 + 0.21479591773942955*x_9 + 83.55066288728834
4,0.004628822095620909*x_0 + 0.00335821401359092*x_1 + 0.0010364373918113172*x_10 - 0.03791416605079467*x_11 + 0.009995798989551882*x_12 - 0.003421277605566777*x_13 + 0.05802216873954246*x_14 - 0.04594728589359042*x_15 - 0.004325922565658169*x_16 - 0.004749204468251573*x_17 + 0.0014650115792685084*x_18 + 0.00032115376750103784*x_19 + 0.00037168069176265117*x_2 - 2.126333187171019e-7*x_20 + 0.00477871224151194*x_3 - 0.007601869204672116*x_4 + 0.2144340600722464*x_5 - 0.0072894035004339094*x_6 - 4.6868209344746274e-7*x_7 + 3.7056823116106843e-6*x_8 + 0.21479591773942955*x_9 + 83.55066288728834
5,0.004628822095620909*x_0 + 0.00335821401359092*x_1 + 0.0010364373918113172*x_10 - 0.03791416605079467*x_11 + 0.009995798989551882*x_12 - 0.003421277605566777*x_13 + 0.05802216873954246*x_14 - 0.04594728589359042*x_15 - 0.004325922565658169*x_16 - 0.004749204468251573*x_17 + 0.0014650115792685084*x_18 + 0.00032115376750103784*x_19 + 0.00037168069176265117*x_2 - 2.126333187171019e-7*x_20 + 0.00477871224151194*x_3 - 0.007601869204672116*x_4 + 0.2144340600722464*x_5 - 0.0072894035004339094*x_6 - 4.6868209344746274e-7*x_7 + 3.7056823116106843e-6*x_8 + 0.21479591773942955*x_9 + 83.55066288728834
6,0.004628822095620909*x_0 + 0.00335821401359092*x_1 + 0.0010364373918113172*x_10 - 0.03791416605079467*x_11 + 0.009995798989551882*x_12 - 0.003421277605566777*x_13 + 0.05802216873954246*x_14 - 0.04594728589359042*x_15 - 0.004325922565658169*x_16 - 0.004749204468251573*x_17 + 0.0014650115792685084*x_18 + 0.00032115376750103784*x_19 + 0.00037168069176265117*x_2 - 2.126333187171019e-7*x_20 + 0.00477871224151194*x_3 - 0.007601869204672116*x_4 + 0.2144340600722464*x_5 - 0.0072894035004339094*x_6 - 4.6868209344746274e-7*x_7 + 3.7056823116106843e-6*x_8 + 0.21479591773942955*x_9 + 83.55066288728834
7,0.004628822095620909*x_0 + 0.00335821401359092*x_1 + 0.0010364373918113172*x_10 - 0.03791416605079467*x_11 + 0.009995798989551882*x_12 - 0.003421277605566777*x_13 + 0.05802216873954246*x_14 - 0.04594728589359042*x_15 - 0.004325922565658169*x_16 - 0.004749204468251573*x_17 + 0.0014650115792685084*x_18 + 0.00032115376750103784*x_19 + 0.00037168069176265117*x_2 - 2.126333187171019e-7*x_20 + 0.00477871224151194*x_3 - 0.007601869204672116*x_4 + 0.2144340600722464*x_5 - 0.0072894035004339094*x_6 - 4.6868209344746274e-7*x_7 + 3.7056823116106843e-6*x_8 + 0.21479591773942955*x_9 + 83.55066288728834
8,0.004628822095620909*x_0 + 0.00335821401359092*x_1 + 0.0010364373918113172*x_10 - 0.03791416605079467*x_11 + 0.009995798989551882*x_12 - 0.003421277605566777*x_13 + 0.05802216873954246*x_14 - 0.04594728589359042*x_15 - 0.004325922565658169*x_16 - 0.004749204468251573*x_17 + 0.0014650115792685084*x_18 + 0.00032115376750103784*x_19 + 0.00037168069176265117*x_2 - 2.126333187171019e-7*x_20 + 0.00477871224151194*x_3 - 0.007601869204672116*x_4 + 0.2144340600722464*x_5 - 0.0072894035004339094*x_6 - 4.6868209344746274e-7*x_7 + 3.7056823116106843e-6*x_8 + 0.21479591773942955*x_9 + 83.55066288728834
