,MTaylor(with new sparse)
0,0.0018247192492708564
1,0.0018247192492708564
2,0.0018247192492708564
3,0.0018247192492708564
4,0.0018247192492708564
5,0.0018247192492708564
6,0.0018247192492708564
7,0.0018247192492708564
8,0.0018247192492708564
9,0.0018247192492708564
10,0.0018247192492708564
11,0.0018247192492708564
12,0.0018247192492708564
13,0.0018247192492708564
14,0.0018247192492708564
15,0.0018247192492708564
16,0.0018247192492708564
17,0.0018247192492708564
18,0.0018247192492708564
19,0.0018247192492708564
20,0.0018247192492708564
21,0.0018247192492708564
22,0.0018247192492708564
23,0.0018247192492708564
24,0.0018247192492708564
25,0.0018247192492708564
26,0.0018247192492708564
27,0.0018247192492708564
28,0.0018247192492708564
29,0.0018247192492708564
