,MTaylor(with new sparse)
0,-0.013353372967572965*x_0 + 0.13713264247957113*x_1 + 0.006316223217531568*x_2 - 0.01527131264957275*x_3 + 0.0298362469097542*x_4 - 0.2098150218284718*x_5 - 0.18091864061995958*x_6 - 0.4452269376209526*x_7 + 1.1941544552327674
1,0.055130990144099556*x_0 - 0.0580990272720343*x_1 - 0.023571631897488836*x_2 - 0.05993317883906411*x_3 - 0.08595385170260438*x_4 + 0.005547275368841121*x_5 - 0.2510763025400369*x_6 - 0.5996934923501306*x_7 + 1.192840392918469
2,0.055130990144099556*x_0 - 0.0580990272720343*x_1 - 0.023571631897488836*x_2 - 0.05993317883906411*x_3 - 0.08595385170260438*x_4 + 0.005547275368841121*x_5 - 0.2510763025400369*x_6 - 0.5996934923501306*x_7 + 1.192840392918469
3,0.055130990144099556*x_0 - 0.0580990272720343*x_1 - 0.023571631897488836*x_2 - 0.05993317883906411*x_3 - 0.08595385170260438*x_4 + 0.005547275368841121*x_5 - 0.2510763025400369*x_6 - 0.5996934923501306*x_7 + 1.192840392918469
4,0.055130990144099556*x_0 - 0.0580990272720343*x_1 - 0.023571631897488836*x_2 - 0.05993317883906411*x_3 - 0.08595385170260438*x_4 + 0.005547275368841121*x_5 - 0.2510763025400369*x_6 - 0.5996934923501306*x_7 + 1.192840392918469
5,0.055130990144099556*x_0 - 0.0580990272720343*x_1 - 0.023571631897488836*x_2 - 0.05993317883906411*x_3 - 0.08595385170260438*x_4 + 0.005547275368841121*x_5 - 0.2510763025400369*x_6 - 0.5996934923501306*x_7 + 1.192840392918469
6,0.055130990144099556*x_0 - 0.0580990272720343*x_1 - 0.023571631897488836*x_2 - 0.05993317883906411*x_3 - 0.08595385170260438*x_4 + 0.005547275368841121*x_5 - 0.2510763025400369*x_6 - 0.5996934923501306*x_7 + 1.192840392918469
7,0.055130990144099556*x_0 - 0.0580990272720343*x_1 - 0.023571631897488836*x_2 - 0.05993317883906411*x_3 - 0.08595385170260438*x_4 + 0.005547275368841121*x_5 - 0.2510763025400369*x_6 - 0.5996934923501306*x_7 + 1.192840392918469
8,0.055130990144099556*x_0 - 0.0580990272720343*x_1 - 0.023571631897488836*x_2 - 0.05993317883906411*x_3 - 0.08595385170260438*x_4 + 0.005547275368841121*x_5 - 0.2510763025400369*x_6 - 0.5996934923501306*x_7 + 1.192840392918469
9,0.055130990144099556*x_0 - 0.0580990272720343*x_1 - 0.023571631897488836*x_2 - 0.05993317883906411*x_3 - 0.08595385170260438*x_4 + 0.005547275368841121*x_5 - 0.2510763025400369*x_6 - 0.5996934923501306*x_7 + 1.192840392918469
