,MTaylor(with new sparse)
0,0.00015917520795483142
1,0.00015917520795483142
2,0.00015917520795483142
3,0.00015917520795483142
4,0.00015917520795483142
5,0.00015917520795483142
6,0.00015917520795483142
7,0.00015917520795483142
8,0.00015917520795483142
9,0.00015917520795483142
10,0.00015917520795483142
11,0.00015917520795483142
12,0.00015917520795483142
13,0.00015917520795483142
14,0.00015917520795483142
15,0.00015917520795483142
16,0.00015917520795483142
17,0.00015917520795483142
18,0.00015917520795483142
19,0.00015917520795483142
20,0.00015917520795483142
21,0.00015917520795483142
22,0.00015917520795483142
23,0.00015917520795483142
24,0.00015917520795483142
25,0.00015917520795483142
26,0.00015917520795483142
27,0.00015917520795483142
28,0.00015917520795483142
29,0.00015917520795483142
