,MTaylor(with new sparse)
0,-0.0009095507800436542*x_0 - 0.0002511392857012064*x_1 + 0.010997530720710271*x_10 - 0.009886725608893612*x_11 + 0.01020376153868749*x_12 - 0.00690032725010297*x_13 + 0.0003087814972560686*x_14 - 0.015461629592647404*x_15 - 0.016697275889978217*x_16 - 0.0002692010481472811*x_17 + 0.0024221032014631267*x_18 + 0.00022903027962725776*x_19 + 0.01255725769631841*x_2 + 0.02029527853918458*x_20 - 0.018085914016137065*x_21 + 0.009815315769665187*x_22 + 0.006649638770621118*x_23 - 0.014010550808067984*x_24 + 0.007797094496710943*x_25 - 0.013969729175215205*x_26 + 0.01747874014056883*x_27 + 0.0013664718163778533*x_28 + 0.007804082461920793*x_29 - 0.0006954205532739742*x_3 - 0.0030389927775121978*x_30 + 0.009157595823132327*x_31 + 0.005781793964887856*x_32 + 0.006240703783851468*x_33 - 0.000370131308851732*x_34 - 0.012060851360070634*x_35 - 0.01430822603771165*x_4 + 0.004457286490913061*x_5 - 0.014849225905104886*x_6 - 8.459978690210772e-5*x_7 + 0.0024956559900939155*x_8 + 0.0011235635243034647*x_9 + 3.9021236967610706
1,-0.02055897352251572*x_0 + 0.009957128659305384*x_1 + 0.010382327611477973*x_10 - 0.005412764813458307*x_11 + 0.000650738678639801*x_12 + 0.013047423269928561*x_13 + 0.004530267300028172*x_14 + 0.004143116523361419*x_15 - 0.0020451666413474436*x_16 + 0.008237010167224732*x_17 - 0.005834583900004778*x_18 - 0.02170063790755535*x_19 + 0.008625108542231412*x_2 + 0.02513617684551407*x_20 - 0.027010511130101653*x_21 + 0.0017818882534656505*x_22 + 0.011435071720279685*x_23 - 0.004752862578068346*x_24 - 0.0037332230720439675*x_25 - 0.013157380028581333*x_26 - 0.0031289643490730154*x_27 + 0.006397730699752211*x_28 - 0.012892410308383643*x_29 - 0.002746604230225562*x_3 - 0.0029306035815966623*x_30 + 0.022948548348478835*x_31 - 0.004935427366768215*x_32 + 0.011181347547957512*x_33 + 0.005814187540701732*x_34 - 0.011705621551400713*x_35 + 0.009411435248977236*x_4 - 0.014565410122217745*x_5 + 0.009058285131920784*x_6 - 0.010478810035137254*x_7 - 0.012017898824700491*x_8 + 0.010278212743174264*x_9 + 3.8655559867945515
2,-0.02055897352251572*x_0 + 0.009957128659305384*x_1 + 0.010382327611477973*x_10 - 0.005412764813458307*x_11 + 0.000650738678639801*x_12 + 0.013047423269928561*x_13 + 0.004530267300028172*x_14 + 0.004143116523361419*x_15 - 0.0020451666413474436*x_16 + 0.008237010167224732*x_17 - 0.005834583900004778*x_18 - 0.02170063790755535*x_19 + 0.008625108542231412*x_2 + 0.02513617684551407*x_20 - 0.027010511130101653*x_21 + 0.0017818882534656505*x_22 + 0.011435071720279685*x_23 - 0.004752862578068346*x_24 - 0.0037332230720439675*x_25 - 0.013157380028581333*x_26 - 0.0031289643490730154*x_27 + 0.006397730699752211*x_28 - 0.012892410308383643*x_29 - 0.002746604230225562*x_3 - 0.0029306035815966623*x_30 + 0.022948548348478835*x_31 - 0.004935427366768215*x_32 + 0.011181347547957512*x_33 + 0.005814187540701732*x_34 - 0.011705621551400713*x_35 + 0.009411435248977236*x_4 - 0.014565410122217745*x_5 + 0.009058285131920784*x_6 - 0.010478810035137254*x_7 - 0.012017898824700491*x_8 + 0.010278212743174264*x_9 + 3.8655559867945515
3,-0.02055897352251572*x_0 + 0.009957128659305384*x_1 + 0.010382327611477973*x_10 - 0.005412764813458307*x_11 + 0.000650738678639801*x_12 + 0.013047423269928561*x_13 + 0.004530267300028172*x_14 + 0.004143116523361419*x_15 - 0.0020451666413474436*x_16 + 0.008237010167224732*x_17 - 0.005834583900004778*x_18 - 0.02170063790755535*x_19 + 0.008625108542231412*x_2 + 0.02513617684551407*x_20 - 0.027010511130101653*x_21 + 0.0017818882534656505*x_22 + 0.011435071720279685*x_23 - 0.004752862578068346*x_24 - 0.0037332230720439675*x_25 - 0.013157380028581333*x_26 - 0.0031289643490730154*x_27 + 0.006397730699752211*x_28 - 0.012892410308383643*x_29 - 0.002746604230225562*x_3 - 0.0029306035815966623*x_30 + 0.022948548348478835*x_31 - 0.004935427366768215*x_32 + 0.011181347547957512*x_33 + 0.005814187540701732*x_34 - 0.011705621551400713*x_35 + 0.009411435248977236*x_4 - 0.014565410122217745*x_5 + 0.009058285131920784*x_6 - 0.010478810035137254*x_7 - 0.012017898824700491*x_8 + 0.010278212743174264*x_9 + 3.8655559867945515
4,-0.02055897352251572*x_0 + 0.009957128659305384*x_1 + 0.010382327611477973*x_10 - 0.005412764813458307*x_11 + 0.000650738678639801*x_12 + 0.013047423269928561*x_13 + 0.004530267300028172*x_14 + 0.004143116523361419*x_15 - 0.0020451666413474436*x_16 + 0.008237010167224732*x_17 - 0.005834583900004778*x_18 - 0.02170063790755535*x_19 + 0.008625108542231412*x_2 + 0.02513617684551407*x_20 - 0.027010511130101653*x_21 + 0.0017818882534656505*x_22 + 0.011435071720279685*x_23 - 0.004752862578068346*x_24 - 0.0037332230720439675*x_25 - 0.013157380028581333*x_26 - 0.0031289643490730154*x_27 + 0.006397730699752211*x_28 - 0.012892410308383643*x_29 - 0.002746604230225562*x_3 - 0.0029306035815966623*x_30 + 0.022948548348478835*x_31 - 0.004935427366768215*x_32 + 0.011181347547957512*x_33 + 0.005814187540701732*x_34 - 0.011705621551400713*x_35 + 0.009411435248977236*x_4 - 0.014565410122217745*x_5 + 0.009058285131920784*x_6 - 0.010478810035137254*x_7 - 0.012017898824700491*x_8 + 0.010278212743174264*x_9 + 3.8655559867945515
5,-0.02055897352251572*x_0 + 0.009957128659305384*x_1 + 0.010382327611477973*x_10 - 0.005412764813458307*x_11 + 0.000650738678639801*x_12 + 0.013047423269928561*x_13 + 0.004530267300028172*x_14 + 0.004143116523361419*x_15 - 0.0020451666413474436*x_16 + 0.008237010167224732*x_17 - 0.005834583900004778*x_18 - 0.02170063790755535*x_19 + 0.008625108542231412*x_2 + 0.02513617684551407*x_20 - 0.027010511130101653*x_21 + 0.0017818882534656505*x_22 + 0.011435071720279685*x_23 - 0.004752862578068346*x_24 - 0.0037332230720439675*x_25 - 0.013157380028581333*x_26 - 0.0031289643490730154*x_27 + 0.006397730699752211*x_28 - 0.012892410308383643*x_29 - 0.002746604230225562*x_3 - 0.0029306035815966623*x_30 + 0.022948548348478835*x_31 - 0.004935427366768215*x_32 + 0.011181347547957512*x_33 + 0.005814187540701732*x_34 - 0.011705621551400713*x_35 + 0.009411435248977236*x_4 - 0.014565410122217745*x_5 + 0.009058285131920784*x_6 - 0.010478810035137254*x_7 - 0.012017898824700491*x_8 + 0.010278212743174264*x_9 + 3.8655559867945515
6,-0.02055897352251572*x_0 + 0.009957128659305384*x_1 + 0.010382327611477973*x_10 - 0.005412764813458307*x_11 + 0.000650738678639801*x_12 + 0.013047423269928561*x_13 + 0.004530267300028172*x_14 + 0.004143116523361419*x_15 - 0.0020451666413474436*x_16 + 0.008237010167224732*x_17 - 0.005834583900004778*x_18 - 0.02170063790755535*x_19 + 0.008625108542231412*x_2 + 0.02513617684551407*x_20 - 0.027010511130101653*x_21 + 0.0017818882534656505*x_22 + 0.011435071720279685*x_23 - 0.004752862578068346*x_24 - 0.0037332230720439675*x_25 - 0.013157380028581333*x_26 - 0.0031289643490730154*x_27 + 0.006397730699752211*x_28 - 0.012892410308383643*x_29 - 0.002746604230225562*x_3 - 0.0029306035815966623*x_30 + 0.022948548348478835*x_31 - 0.004935427366768215*x_32 + 0.011181347547957512*x_33 + 0.005814187540701732*x_34 - 0.011705621551400713*x_35 + 0.009411435248977236*x_4 - 0.014565410122217745*x_5 + 0.009058285131920784*x_6 - 0.010478810035137254*x_7 - 0.012017898824700491*x_8 + 0.010278212743174264*x_9 + 3.8655559867945515
7,-0.02055897352251572*x_0 + 0.009957128659305384*x_1 + 0.010382327611477973*x_10 - 0.005412764813458307*x_11 + 0.000650738678639801*x_12 + 0.013047423269928561*x_13 + 0.004530267300028172*x_14 + 0.004143116523361419*x_15 - 0.0020451666413474436*x_16 + 0.008237010167224732*x_17 - 0.005834583900004778*x_18 - 0.02170063790755535*x_19 + 0.008625108542231412*x_2 + 0.02513617684551407*x_20 - 0.027010511130101653*x_21 + 0.0017818882534656505*x_22 + 0.011435071720279685*x_23 - 0.004752862578068346*x_24 - 0.0037332230720439675*x_25 - 0.013157380028581333*x_26 - 0.0031289643490730154*x_27 + 0.006397730699752211*x_28 - 0.012892410308383643*x_29 - 0.002746604230225562*x_3 - 0.0029306035815966623*x_30 + 0.022948548348478835*x_31 - 0.004935427366768215*x_32 + 0.011181347547957512*x_33 + 0.005814187540701732*x_34 - 0.011705621551400713*x_35 + 0.009411435248977236*x_4 - 0.014565410122217745*x_5 + 0.009058285131920784*x_6 - 0.010478810035137254*x_7 - 0.012017898824700491*x_8 + 0.010278212743174264*x_9 + 3.8655559867945515
8,-0.02055897352251572*x_0 + 0.009957128659305384*x_1 + 0.010382327611477973*x_10 - 0.005412764813458307*x_11 + 0.000650738678639801*x_12 + 0.013047423269928561*x_13 + 0.004530267300028172*x_14 + 0.004143116523361419*x_15 - 0.0020451666413474436*x_16 + 0.008237010167224732*x_17 - 0.005834583900004778*x_18 - 0.02170063790755535*x_19 + 0.008625108542231412*x_2 + 0.02513617684551407*x_20 - 0.027010511130101653*x_21 + 0.0017818882534656505*x_22 + 0.011435071720279685*x_23 - 0.004752862578068346*x_24 - 0.0037332230720439675*x_25 - 0.013157380028581333*x_26 - 0.0031289643490730154*x_27 + 0.006397730699752211*x_28 - 0.012892410308383643*x_29 - 0.002746604230225562*x_3 - 0.0029306035815966623*x_30 + 0.022948548348478835*x_31 - 0.004935427366768215*x_32 + 0.011181347547957512*x_33 + 0.005814187540701732*x_34 - 0.011705621551400713*x_35 + 0.009411435248977236*x_4 - 0.014565410122217745*x_5 + 0.009058285131920784*x_6 - 0.010478810035137254*x_7 - 0.012017898824700491*x_8 + 0.010278212743174264*x_9 + 3.8655559867945515
9,-0.02055897352251572*x_0 + 0.009957128659305384*x_1 + 0.010382327611477973*x_10 - 0.005412764813458307*x_11 + 0.000650738678639801*x_12 + 0.013047423269928561*x_13 + 0.004530267300028172*x_14 + 0.004143116523361419*x_15 - 0.0020451666413474436*x_16 + 0.008237010167224732*x_17 - 0.005834583900004778*x_18 - 0.02170063790755535*x_19 + 0.008625108542231412*x_2 + 0.02513617684551407*x_20 - 0.027010511130101653*x_21 + 0.0017818882534656505*x_22 + 0.011435071720279685*x_23 - 0.004752862578068346*x_24 - 0.0037332230720439675*x_25 - 0.013157380028581333*x_26 - 0.0031289643490730154*x_27 + 0.006397730699752211*x_28 - 0.012892410308383643*x_29 - 0.002746604230225562*x_3 - 0.0029306035815966623*x_30 + 0.022948548348478835*x_31 - 0.004935427366768215*x_32 + 0.011181347547957512*x_33 + 0.005814187540701732*x_34 - 0.011705621551400713*x_35 + 0.009411435248977236*x_4 - 0.014565410122217745*x_5 + 0.009058285131920784*x_6 - 0.010478810035137254*x_7 - 0.012017898824700491*x_8 + 0.010278212743174264*x_9 + 3.8655559867945515
