,MTaylor(with new sparse)
0,0.026635484769940376
1,0.04652717337012291
2,0.04652717337012291
3,0.04652717337012291
4,0.04652717337012291
5,0.04652717337012291
6,0.04652717337012291
7,0.04652717337012291
8,0.04652717337012291
9,0.04652717337012291
10,0.04652717337012291
11,0.04652717337012291
12,0.04652717337012291
13,0.04652717337012291
14,0.04652717337012291
15,0.04652717337012291
16,0.04652717337012291
17,0.04652717337012291
18,0.04652717337012291
19,0.04652717337012291
20,0.04652717337012291
21,0.04652717337012291
22,0.04652717337012291
23,0.04652717337012291
24,0.04652717337012291
25,0.04652717337012291
26,0.04652717337012291
27,0.04652717337012291
28,0.04652717337012291
29,0.04652717337012291
