,MTaylor(with new sparse)
0,0.13128107602569777*x_0 + 0.01835672784966087*x_1 - 0.0458106216736212*x_10 - 0.1500856043123235*x_11 - 0.08974405483760896*x_12 + 0.009223143445856561*x_13 - 0.0187728236703906*x_2 - 0.04505694793543701*x_3 + 0.010438764354990651*x_4 - 0.018548336335332597*x_5 + 0.10450511402421472*x_6 + 0.02468288950788718*x_7 + 0.11222817875040945*x_8 + 0.1404228044664776*x_9 + 6.454563284145891
1,-0.05224596793425759*x_0 + 0.023597367348104328*x_1 - 0.02997433426132935*x_10 - 0.13269937943691784*x_11 + 0.11252129463326287*x_12 + 0.05608967246047561*x_13 + 0.022434946719908214*x_2 - 0.08140341609799176*x_3 - 0.15370318060780178*x_4 + 0.10995424878079184*x_5 - 0.04955946220707716*x_6 + 0.1825542715595049*x_7 + 0.06392701119266202*x_8 + 0.02362825572055917*x_9 + 18.66285937942785
2,-0.05224596793425759*x_0 + 0.023597367348104328*x_1 - 0.02997433426132935*x_10 - 0.13269937943691784*x_11 + 0.11252129463326287*x_12 + 0.05608967246047561*x_13 + 0.022434946719908214*x_2 - 0.08140341609799176*x_3 - 0.15370318060780178*x_4 + 0.10995424878079184*x_5 - 0.04955946220707716*x_6 + 0.1825542715595049*x_7 + 0.06392701119266202*x_8 + 0.02362825572055917*x_9 + 18.66285937942785
3,-0.05224596793425759*x_0 + 0.023597367348104328*x_1 - 0.02997433426132935*x_10 - 0.13269937943691784*x_11 + 0.11252129463326287*x_12 + 0.05608967246047561*x_13 + 0.022434946719908214*x_2 - 0.08140341609799176*x_3 - 0.15370318060780178*x_4 + 0.10995424878079184*x_5 - 0.04955946220707716*x_6 + 0.1825542715595049*x_7 + 0.06392701119266202*x_8 + 0.02362825572055917*x_9 + 18.66285937942785
4,-0.05224596793425759*x_0 + 0.023597367348104328*x_1 - 0.02997433426132935*x_10 - 0.13269937943691784*x_11 + 0.11252129463326287*x_12 + 0.05608967246047561*x_13 + 0.022434946719908214*x_2 - 0.08140341609799176*x_3 - 0.15370318060780178*x_4 + 0.10995424878079184*x_5 - 0.04955946220707716*x_6 + 0.1825542715595049*x_7 + 0.06392701119266202*x_8 + 0.02362825572055917*x_9 + 18.66285937942785
5,-0.05224596793425759*x_0 + 0.023597367348104328*x_1 - 0.02997433426132935*x_10 - 0.13269937943691784*x_11 + 0.11252129463326287*x_12 + 0.05608967246047561*x_13 + 0.022434946719908214*x_2 - 0.08140341609799176*x_3 - 0.15370318060780178*x_4 + 0.10995424878079184*x_5 - 0.04955946220707716*x_6 + 0.1825542715595049*x_7 + 0.06392701119266202*x_8 + 0.02362825572055917*x_9 + 18.66285937942785
6,-0.05224596793425759*x_0 + 0.023597367348104328*x_1 - 0.02997433426132935*x_10 - 0.13269937943691784*x_11 + 0.11252129463326287*x_12 + 0.05608967246047561*x_13 + 0.022434946719908214*x_2 - 0.08140341609799176*x_3 - 0.15370318060780178*x_4 + 0.10995424878079184*x_5 - 0.04955946220707716*x_6 + 0.1825542715595049*x_7 + 0.06392701119266202*x_8 + 0.02362825572055917*x_9 + 18.66285937942785
7,-0.05224596793425759*x_0 + 0.023597367348104328*x_1 - 0.02997433426132935*x_10 - 0.13269937943691784*x_11 + 0.11252129463326287*x_12 + 0.05608967246047561*x_13 + 0.022434946719908214*x_2 - 0.08140341609799176*x_3 - 0.15370318060780178*x_4 + 0.10995424878079184*x_5 - 0.04955946220707716*x_6 + 0.1825542715595049*x_7 + 0.06392701119266202*x_8 + 0.02362825572055917*x_9 + 18.66285937942785
8,-0.05224596793425759*x_0 + 0.023597367348104328*x_1 - 0.02997433426132935*x_10 - 0.13269937943691784*x_11 + 0.11252129463326287*x_12 + 0.05608967246047561*x_13 + 0.022434946719908214*x_2 - 0.08140341609799176*x_3 - 0.15370318060780178*x_4 + 0.10995424878079184*x_5 - 0.04955946220707716*x_6 + 0.1825542715595049*x_7 + 0.06392701119266202*x_8 + 0.02362825572055917*x_9 + 18.66285937942785
9,-0.05224596793425759*x_0 + 0.023597367348104328*x_1 - 0.02997433426132935*x_10 - 0.13269937943691784*x_11 + 0.11252129463326287*x_12 + 0.05608967246047561*x_13 + 0.022434946719908214*x_2 - 0.08140341609799176*x_3 - 0.15370318060780178*x_4 + 0.10995424878079184*x_5 - 0.04955946220707716*x_6 + 0.1825542715595049*x_7 + 0.06392701119266202*x_8 + 0.02362825572055917*x_9 + 18.66285937942785
