,MTaylor(with new sparse)
0,0.0012992502888664603
1,0.0012992502888664603
2,0.0012992502888664603
3,0.0012992502888664603
4,0.0012992502888664603
5,0.0012992502888664603
6,0.0012992502888664603
7,0.0012992502888664603
8,0.0012992502888664603
9,0.0012992502888664603
10,0.0012992502888664603
11,0.0012992502888664603
12,0.0012992502888664603
13,0.0012992502888664603
14,0.0012992502888664603
15,0.0012992502888664603
16,0.0012992502888664603
17,0.0012992502888664603
18,0.0012992502888664603
19,0.0012992502888664603
20,0.0012992502888664603
21,0.0012992502888664603
22,0.0012992502888664603
23,0.0012992502888664603
24,0.0012992502888664603
25,0.0012992502888664603
26,0.0012992502888664603
27,0.0012992502888664603
28,0.0012992502888664603
29,0.0012992502888664603
