,MTaylor(with new sparse)
0,-0.004211538381365593*x_0 - 0.017173588263727547*x_1 + 0.010726529148914775*x_2 - 0.005108804299221936*x_3 + 0.013120754861561957
0,-0.003066731746298795*x_0 + 0.010648858634540083*x_1 - 0.005193473508157162*x_2 + 0.0010910955831339108*x_3 + 0.015685666183451363
1,0.017088243512545037*x_0 + 0.012311610239781723*x_1 + 0.005462738557091388*x_2 + 0.0032498151998180936*x_3 + 0.01434391475649505
2,0.017088243512545037*x_0 + 0.012311610239781723*x_1 + 0.005462738557091388*x_2 + 0.0032498151998180936*x_3 + 0.01434391475649505
3,0.017088243512545037*x_0 + 0.012311610239781723*x_1 + 0.005462738557091388*x_2 + 0.0032498151998180936*x_3 + 0.01434391475649505
4,0.017088243512545037*x_0 + 0.012311610239781723*x_1 + 0.005462738557091388*x_2 + 0.0032498151998180936*x_3 + 0.01434391475649505
0,-0.0015209614621192824*x_0 - 0.01270522452883242*x_1 - 0.014698031802119474*x_2 + 0.005385240328873616*x_3 + 0.016949980615730595
1,0.017088243512545037*x_0 + 0.012311610239781723*x_1 + 0.005462738557091388*x_2 + 0.0032498151998180936*x_3 + 0.01434391475649505
2,0.017088243512545037*x_0 + 0.012311610239781723*x_1 + 0.005462738557091388*x_2 + 0.0032498151998180936*x_3 + 0.01434391475649505
3,0.017088243512545037*x_0 + 0.012311610239781723*x_1 + 0.005462738557091388*x_2 + 0.0032498151998180936*x_3 + 0.01434391475649505
4,0.017088243512545037*x_0 + 0.012311610239781723*x_1 + 0.005462738557091388*x_2 + 0.0032498151998180936*x_3 + 0.01434391475649505
