,MTaylor(with new sparse)
0,0.19586441487250883*x_0 - 0.20202777828436488*x_1 - 0.07043621691632519*x_2 - 0.0906027920269407*x_3 + 0.012674805115029154*x_4 + 0.013934614300065169
1,-0.3434839052401352*x_0 + 0.31482047850333966*x_1 + 0.17603345918789787*x_2 - 0.06341340863861653*x_3 - 0.0037654824876625363*x_4 + 0.012931389329273405
2,-0.3434839052401352*x_0 + 0.31482047850333966*x_1 + 0.17603345918789787*x_2 - 0.06341340863861653*x_3 - 0.0037654824876625363*x_4 + 0.012931389329273405
3,-0.3434839052401352*x_0 + 0.31482047850333966*x_1 + 0.17603345918789787*x_2 - 0.06341340863861653*x_3 - 0.0037654824876625363*x_4 + 0.012931389329273405
4,-0.3434839052401352*x_0 + 0.31482047850333966*x_1 + 0.17603345918789787*x_2 - 0.06341340863861653*x_3 - 0.0037654824876625363*x_4 + 0.012931389329273405
5,-0.3434839052401352*x_0 + 0.31482047850333966*x_1 + 0.17603345918789787*x_2 - 0.06341340863861653*x_3 - 0.0037654824876625363*x_4 + 0.012931389329273405
6,-0.3434839052401352*x_0 + 0.31482047850333966*x_1 + 0.17603345918789787*x_2 - 0.06341340863861653*x_3 - 0.0037654824876625363*x_4 + 0.012931389329273405
7,-0.3434839052401352*x_0 + 0.31482047850333966*x_1 + 0.17603345918789787*x_2 - 0.06341340863861653*x_3 - 0.0037654824876625363*x_4 + 0.012931389329273405
8,-0.3434839052401352*x_0 + 0.31482047850333966*x_1 + 0.17603345918789787*x_2 - 0.06341340863861653*x_3 - 0.0037654824876625363*x_4 + 0.012931389329273405
9,-0.3434839052401352*x_0 + 0.31482047850333966*x_1 + 0.17603345918789787*x_2 - 0.06341340863861653*x_3 - 0.0037654824876625363*x_4 + 0.012931389329273405
