,MTaylor(with new sparse)
0,-0.0174363995715634
1,0.026899630648215767
2,0.026899630648215767
3,0.026899630648215767
4,0.026899630648215767
5,0.026899630648215767
6,0.026899630648215767
7,0.026899630648215767
8,0.026899630648215767
9,0.026899630648215767
10,0.026899630648215767
11,0.026899630648215767
12,0.026899630648215767
13,0.026899630648215767
14,0.026899630648215767
15,0.026899630648215767
16,0.026899630648215767
17,0.026899630648215767
18,0.026899630648215767
19,0.026899630648215767
20,0.026899630648215767
21,0.026899630648215767
22,0.026899630648215767
23,0.026899630648215767
24,0.026899630648215767
25,0.026899630648215767
26,0.026899630648215767
27,0.026899630648215767
28,0.026899630648215767
29,0.026899630648215767
