,MTaylor(with new sparse)
0,0.24887464144593402*x_0 - 0.06976983408772627*x_1 + 1.1460837216219788
1,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
2,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
3,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
4,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
5,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
6,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
7,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
8,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
9,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
10,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
11,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
12,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
13,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
14,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
15,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
16,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
17,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
18,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
19,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
20,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
21,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
22,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
23,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
24,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
25,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
26,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
27,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
28,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
29,-0.08076324745108329*x_0 + 0.14562832452771945*x_1 + 1.1475443806601833
