,MTaylor(with new sparse)
0,704.0913622379303
1,726.7423734664917
2,692.8295063972473
3,647.2550072669983
4,696.9042239189148
5,676.9094760417938
6,673.5381104946136
7,638.7796938419342
8,636.7147223949432
9,637.5966184139252
10,639.2562441825867
11,639.7291212081909
12,680.6289732456207
13,645.9457807540894
14,661.4356753826141
15,644.3896787166595
16,674.2015931606293
17,706.9937698841095
18,696.4409513473511
19,669.2621929645538
20,711.8485448360443
21,667.7340521812439
22,678.1387598514557
23,615.5078961849213
24,618.3801469802856
25,609.8468227386475
26,612.5520675182343
27,613.2934520244598
28,625.9614007472992
29,618.772723197937
