,MTaylor(with new sparse)
0,-0.16458961163122288
1,-0.3711906586790863
2,-0.3711906586790863
3,-0.3711906586790863
4,-0.3711906586790863
5,-0.3711906586790863
6,-0.3711906586790863
7,-0.3711906586790863
8,-0.3711906586790863
9,-0.3711906586790863
10,-0.3711906586790863
11,-0.3711906586790863
12,-0.3711906586790863
13,-0.3711906586790863
14,-0.3711906586790863
15,-0.3711906586790863
16,-0.3711906586790863
17,-0.3711906586790863
18,-0.3711906586790863
19,-0.3711906586790863
20,-0.3711906586790863
21,-0.3711906586790863
22,-0.3711906586790863
23,-0.3711906586790863
24,-0.3711906586790863
25,-0.3711906586790863
26,-0.3711906586790863
27,-0.3711906586790863
28,-0.3711906586790863
29,-0.3711906586790863
