,MTaylor(with new sparse)
0,-0.028157438297860174*x_0 + 0.007678477883772083*x_1 + 15.52983388670798
1,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
2,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
3,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
4,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
5,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
6,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
7,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
8,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
9,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
10,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
11,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
12,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
13,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
14,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
15,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
16,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
17,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
18,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
19,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
20,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
21,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
22,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
23,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
24,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
25,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
26,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
27,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
28,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
29,-0.0452151427512335*x_0 + 0.04486358325930946*x_1 + 15.189619651888949
