,MTaylor(with new sparse)
0,2908.926119327545
1,2932.7337079048157
2,2929.8148095607758
3,2903.080146551132
4,2918.222303390503
5,2926.727424621582
6,2958.2478244304657
7,2937.5295038223267
8,2812.976723432541
9,2801.771490573883
10,2807.0672612190247
11,2791.419830083847
12,2743.006235599518
13,2748.029438972473
14,2755.454534292221
15,2912.83856344223
16,2998.761559486389
17,2947.81294631958
18,2810.778864145279
19,2817.163185596466
20,2816.5748665332794
21,2770.2542250156403
22,3071.32643198967
23,3269.637951374054
24,3354.1528601646423
25,3221.4381177425385
26,3295.069662332535
27,3314.416756629944
28,3182.6719546318054
29,2821.176036119461
