,MTaylor(with new sparse)
0,-0.013249279966827343
1,-0.005560890942011509
2,-0.005560890942011509
3,-0.005560890942011509
4,-0.005560890942011509
5,-0.005560890942011509
6,-0.005560890942011509
7,-0.005560890942011509
8,-0.005560890942011509
9,-0.005560890942011509
10,-0.005560890942011509
11,-0.005560890942011509
12,-0.005560890942011509
13,-0.005560890942011509
14,-0.005560890942011509
15,-0.005560890942011509
16,-0.005560890942011509
17,-0.005560890942011509
18,-0.005560890942011509
19,-0.005560890942011509
20,-0.005560890942011509
21,-0.005560890942011509
22,-0.005560890942011509
23,-0.005560890942011509
24,-0.005560890942011509
25,-0.005560890942011509
26,-0.005560890942011509
27,-0.005560890942011509
28,-0.005560890942011509
29,-0.005560890942011509
