,MTaylor(with new sparse)
0,0.003403013737850679*x_0 - 0.004553716451214561*x_1 - 0.01671171328745679
1,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
2,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
3,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
4,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
5,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
6,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
7,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
8,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
9,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
10,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
11,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
12,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
13,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
14,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
15,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
16,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
17,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
18,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
19,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
20,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
21,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
22,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
23,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
24,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
25,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
26,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
27,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
28,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
29,0.007016052057560847*x_0 + 0.009383991369526163*x_1 - 0.01863976164286401
