,MTaylor(with new sparse)
0,688.9665622711182
1,702.0620450973511
2,694.8318884372711
3,685.8126449584961
4,694.7897861003876
5,685.5939652919769
6,686.59716963768
7,692.5611667633057
8,680.3140962123871
9,679.5657677650452
10,690.6735610961914
11,686.4520089626312
12,690.2752132415771
13,679.9784615039825
14,686.2307107448578
15,687.7536914348602
16,689.3681066036224
17,680.5039222240448
18,686.5534172058105
19,691.3299298286438
20,686.8189949989319
21,683.9382486343384
22,692.6069900989532
23,690.430202960968
24,689.9982378482819
25,685.6278574466705
26,688.5671317577362
27,689.1429040431976
28,688.5283071994781
29,684.3087465763092
