,MTaylor(with new sparse)
0,-0.005512546406422301*x_0 + 0.02253723497010644*x_1 + 0.0034405958956104303
1,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
2,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
3,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
4,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
5,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
6,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
7,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
8,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
9,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
10,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
11,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
12,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
13,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
14,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
15,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
16,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
17,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
18,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
19,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
20,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
21,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
22,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
23,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
24,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
25,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
26,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
27,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
28,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
29,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
0,0.02470184792268829*x_0 - 0.0020519798721661355*x_1 + 0.0042785133765723795
1,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
2,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
3,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
4,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
5,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
6,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
7,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
8,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
9,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
10,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
11,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
12,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
13,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
14,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
15,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
16,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
17,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
18,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
19,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
20,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
21,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
22,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
23,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
24,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
25,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
26,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
27,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
28,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
29,0.0316846925160437*x_0 - 0.12770205106630053*x_1 + 0.0061397927077506955
