,MTaylor(with new sparse)
0,150.7525281906128
1,157.4640829563141
2,151.16169786453247
3,145.34828901290894
4,150.6126492023468
5,162.65567660331726
6,162.89983367919922
7,160.72021555900574
8,157.56847524642944
9,153.96126532554626
10,144.666002035141
11,142.66267848014832
12,143.7397472858429
13,139.55130577087402
14,137.3140139579773
15,137.7211103439331
16,145.6350610256195
17,143.94781947135925
18,135.74747252464294
19,142.9315962791443
20,146.6297905445099
21,140.64972066879272
22,138.04960823059082
23,145.22366786003113
24,145.13872528076172
25,140.8145444393158
26,148.06419968605042
27,157.35553908348083
28,157.94012665748596
29,151.93510603904724
,MTaylor(with new sparse)
0,140.57983541488647
1,141.75386238098145
2,132.99037075042725
3,129.40388202667236
4,134.71877670288086
5,135.39297246932983
6,133.4240164756775
7,128.6099259853363
8,131.3916265964508
9,130.13009929656982
10,131.95527148246765
11,130.8479039669037
12,130.02916979789734
13,135.9439640045166
14,130.18871784210205
15,133.44523119926453
16,133.34625506401062
17,132.78517150878906
18,128.46977615356445
19,134.27080965042114
20,135.15315413475037
21,134.54529547691345
22,129.9181432723999
23,134.8479745388031
24,135.08018350601196
25,130.74088215827942
26,136.7919623851776
27,135.42041206359863
28,135.20773220062256
29,130.45209908485413
