,MTaylor(with new sparse)
0,-0.0013328469075601923
1,-0.01186956280500362
2,-0.01186956280500362
3,-0.01186956280500362
4,-0.01186956280500362
5,-0.01186956280500362
6,-0.01186956280500362
7,-0.01186956280500362
8,-0.01186956280500362
9,-0.01186956280500362
10,-0.01186956280500362
11,-0.01186956280500362
12,-0.01186956280500362
13,-0.01186956280500362
14,-0.01186956280500362
15,-0.01186956280500362
16,-0.01186956280500362
17,-0.01186956280500362
18,-0.01186956280500362
19,-0.01186956280500362
20,-0.01186956280500362
21,-0.01186956280500362
22,-0.01186956280500362
23,-0.01186956280500362
24,-0.01186956280500362
25,-0.01186956280500362
26,-0.01186956280500362
27,-0.01186956280500362
28,-0.01186956280500362
29,-0.01186956280500362
,MTaylor(with new sparse)
0,0.011753775632304286
1,-0.014293983972499369
2,-0.01186956280500362
3,-0.01186956280500362
4,-0.01186956280500362
5,-0.01186956280500362
6,-0.01186956280500362
7,-0.01186956280500362
8,-0.01186956280500362
9,-0.01186956280500362
10,-0.01186956280500362
11,-0.01186956280500362
12,-0.01186956280500362
13,-0.01186956280500362
14,-0.01186956280500362
15,-0.01186956280500362
16,-0.01186956280500362
17,-0.01186956280500362
18,-0.01186956280500362
19,-0.01186956280500362
20,-0.01186956280500362
21,-0.01186956280500362
22,-0.01186956280500362
23,-0.01186956280500362
24,-0.01186956280500362
25,-0.01186956280500362
26,-0.01186956280500362
27,-0.01186956280500362
28,-0.01186956280500362
29,-0.01186956280500362
