,MTaylor(with new sparse)
0,1924.427473783493
1,1904.6815078258514
2,1815.1743896007538
3,1783.80255484581
4,1839.8529663085938
5,1869.315601348877
6,1927.819962978363
7,1933.2930619716644
8,1714.8283290863037
9,1708.1404139995575
10,1746.9629580974579
11,1737.0281450748444
12,1741.7056217193604
13,1752.7082438468933
14,1754.6343233585358
15,1741.1976494789124
16,1749.8680498600006
17,1748.829316854477
18,1735.1964225769043
19,1757.2468492984772
20,1765.276813030243
21,1770.9007642269135
22,1752.3681757450104
23,1765.0779299736023
24,1705.6580262184143
25,1662.3839766979218
26,1678.0320312976837
27,1665.4514920711517
28,1666.6763045787811
29,1681.6172513961792
