,MTaylor(with new sparse)
0,-4.663301734504898e-12*x_0 - 2.7525192117182762e-11*x_1 + 3.974846824058624e-10
1,-4.663301734504907e-12*x_0 - 2.7525192117182765e-11*x_1 + 3.974846824058629e-10
2,-4.663301734504907e-12*x_0 - 2.7525192117182765e-11*x_1 + 3.974846824058629e-10
3,-4.663301734504904e-12*x_0 - 2.752519211718279e-11*x_1 + 3.974846824058628e-10
4,-4.663301734504904e-12*x_0 - 2.752519211718277e-11*x_1 + 3.974846824058627e-10
5,-4.663301734504904e-12*x_0 - 2.7525192117182756e-11*x_1 + 3.974846824058627e-10
6,-4.663301734504904e-12*x_0 - 2.752519211718278e-11*x_1 + 3.974846824058628e-10
7,-4.663301734504904e-12*x_0 - 2.7525192117182775e-11*x_1 + 3.9748468240586274e-10
8,-4.663301734504903e-12*x_0 - 2.752519211718276e-11*x_1 + 3.974846824058627e-10
9,-4.663301734504904e-12*x_0 - 2.752519211718278e-11*x_1 + 3.9748468240586284e-10
