,MTaylor(with new sparse)
0,-1.656984364317715e-05
1,-1.656984364317715e-05
2,-1.656984364317715e-05
3,-1.656984364317715e-05
4,-1.656984364317715e-05
5,-1.656984364317715e-05
6,-1.656984364317715e-05
7,-1.656984364317715e-05
8,-1.656984364317715e-05
9,-1.656984364317715e-05
10,-1.656984364317715e-05
11,-1.656984364317715e-05
12,-1.656984364317715e-05
13,-1.656984364317715e-05
14,-1.656984364317715e-05
15,-1.656984364317715e-05
16,-1.656984364317715e-05
17,-1.656984364317715e-05
18,-1.656984364317715e-05
19,-1.656984364317715e-05
20,-1.656984364317715e-05
21,-1.656984364317715e-05
22,-1.656984364317715e-05
23,-1.656984364317715e-05
24,-1.656984364317715e-05
25,-1.656984364317715e-05
26,-1.656984364317715e-05
27,-1.656984364317715e-05
28,-1.656984364317715e-05
29,-1.656984364317715e-05
