,MTaylor(with new sparse)
0,0.40881228752017795
1,0.40881228752017806
2,0.40881228752017806
3,0.40881228752017806
4,0.40881228752017795
5,0.40881228752017806
6,0.40881228752017806
7,0.40881228752017806
8,0.40881228752017806
9,0.40881228752017795
10,0.40881228752017806
11,0.40881228752017806
12,0.40881228752017806
13,0.40881228752017806
14,0.40881228752017806
15,0.40881228752017806
16,0.40881228752017806
17,0.40881228752017806
18,0.40881228752017806
19,0.40881228752017806
20,0.40881228752017806
21,0.40881228752017806
22,0.40881228752017795
23,0.40881228752017795
24,0.40881228752017806
25,0.40881228752017795
26,0.40881228752017806
27,0.40881228752017806
28,0.40881228752017806
29,0.40881228752017806
