,MTaylor(with new sparse)
0,4.174200891348501e-5*x_0 + 6.986913309978619e-7*x_1 - 2.7214403336851703e-8
1,4.1742008913484996e-5*x_0 + 6.98691330997862e-7*x_1 - 2.7214403336851706e-8
2,4.1742008913484975e-5*x_0 + 6.986913309978622e-7*x_1 - 2.721440333685173e-8
3,4.174200891348499e-5*x_0 + 6.986913309978606e-7*x_1 - 2.7214403336851683e-8
4,4.1742008913484996e-5*x_0 + 6.986913309978622e-7*x_1 - 2.7214403336851716e-8
5,4.1742008913485e-5*x_0 + 6.986913309978602e-7*x_1 - 2.7214403336851676e-8
6,4.174200891348499e-5*x_0 + 6.986913309978608e-7*x_1 - 2.7214403336851683e-8
7,4.174200891348498e-5*x_0 + 6.986913309978614e-7*x_1 - 2.7214403336851703e-8
8,4.1742008913485e-5*x_0 + 6.986913309978621e-7*x_1 - 2.7214403336851706e-8
9,4.174200891348502e-5*x_0 + 6.986913309978613e-7*x_1 - 2.7214403336851683e-8
