,MTaylor(with new sparse)
0,-0.26679715629645173
1,-0.2667971562964522
2,-0.26679715629645284
3,-0.26679715629645173
4,-0.26679715629645195
5,-0.26679715629645195
6,-0.2667971562964524
7,-0.26679715629645195
8,-0.2667971562964522
9,-0.2667971562964522
10,-0.26679715629645173
11,-0.26679715629645195
12,-0.2667971562964515
13,-0.26679715629645195
14,-0.26679715629645173
15,-0.2667971562964515
16,-0.2667971562964515
17,-0.26679715629645195
18,-0.2667971562964515
19,-0.26679715629645195
20,-0.2667971562964524
21,-0.26679715629645195
22,-0.26679715629645173
23,-0.2667971562964515
24,-0.26679715629645195
25,-0.2667971562964522
26,-0.26679715629645173
27,-0.2667971562964515
28,-0.26679715629645195
29,-0.2667971562964522
