,MTaylor(with new sparse)
0,4.012575149536133
1,3.944965362548828
2,3.9139199256896973
3,3.928828716278076
4,3.9040536880493164
5,3.8564651012420654
6,3.7767086029052734
7,4.079071998596191
8,3.9088070392608643
9,4.55214524269104
10,4.051940679550171
11,3.937584638595581
12,3.9099316596984863
13,3.969971179962158
14,4.021400451660156
15,3.807844638824463
16,4.034428596496582
17,3.891664981842041
18,3.9327192306518555
19,3.948563814163208
20,3.8743631839752197
21,3.918321371078491
22,3.817148447036743
23,3.822376012802124
24,3.80861759185791
25,3.830498456954956
26,3.8008220195770264
27,3.932171583175659
28,3.8450050354003906
29,3.96819806098938
