,MTaylor(with new sparse)
0,151.10037970542908
1,46.01071047782898
2,47.65104818344116
3,1050.3197355270386
4,44.748181104660034
5,46.61116003990173
6,53.035284996032715
7,1050.5798041820526
8,41.21232342720032
9,43.27933430671692
10,43.225831270217896
11,976.9696855545044
12,41.40682291984558
13,43.80509638786316
14,49.35271501541138
15,1014.7382435798645
16,46.593010663986206
17,52.03761100769043
18,43.96771311759949
19,938.4697585105896
20,40.9837589263916
21,41.84700655937195
22,43.56804370880127
23,937.2960119247437
24,40.52986526489258
25,41.48051643371582
26,43.37601852416992
27,940.4029302597046
28,40.850812911987305
29,41.65074682235718
